Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,period
love story,taylor swift,32.0,0.291,0.637,119.054,0.021,0.622,234213.0,0.000144,0.189,-5.401,0.0289,1.0,Fearless,2008.0,pre_ai
love the way you lie,eminem,14.0,0.641,0.925,86.989,0.241,0.749,263373.0,0.0,0.52,-5.034,0.227,1.0,Recovery (Deluxe Edition),2010.0,pre_ai
love this life,t.i.,22.0,0.401,0.691,173.765,0.438,0.437,232627.0,0.0,0.139,-6.377,0.292,1.0,11 Months and One Day,2012.0,pre_ai
love this pain,lady antebellum,23.0,0.792,0.905,127.972,0.00876,0.639,183653.0,1.54e-06,0.364,-3.044,0.0409,1.0,Need You Now,2010.0,pre_ai
love today,mika,51.0,0.564,0.91,124.465,0.0284,0.669,235173.0,0.00439,0.109,-4.99,0.0639,0.0,Life In Cartoon Motion,2007.0,pre_ai
love wins,carrie underwood,61.0,0.325,0.865,135.115,0.0112,0.523,228640.0,0.0,0.153,-4.697,0.0989,1.0,Cry Pretty,2018.0,post_ai
love you,jack ingram,0.0,0.68,0.942,116.91,0.0284,0.547,210813.0,0.00027,0.143,-3.621,0.0575,1.0,Live Wherever You Are (MP3 partners version),2006.0,pre_ai
love you more,ginuwine,22.0,0.428,0.422,117.007,0.0887,0.661,241373.0,2.39e-06,0.164,-6.918,0.0282,0.0,Pony,2003.0,pre_ai
love you out loud,rascal flatts,44.0,0.452,0.903,96.987,0.155,0.627,185493.0,0.0,0.277,-2.714,0.0426,1.0,Melt,2002.0,pre_ai
love yourself,justin bieber,83.0,0.545,0.376,102.541,0.856,0.607,233720.0,0.0,0.285,-9.954,0.453,1.0,Purpose (Deluxe),2015.0,post_ai
love's divine,seal,50.0,0.228,0.527,96.101,0.563,0.577,274000.0,0.000191,0.114,-9.21,0.0374,0.0,Seal IV,2003.0,pre_ai
lovebug,jonas brothers,70.0,0.547,0.505,157.959,0.131,0.554,220693.0,0.0,0.181,-6.108,0.0704,1.0,A Little Bit Longer,2008.0,pre_ai
loveeeeeee song,rihanna,16.0,0.501,0.598,119.981,0.508,0.71,256320.0,0.0,0.0971,-7.598,0.0319,0.0,Unapologetic (Deluxe Version),2012.0,pre_ai
lovegame,lady gaga,46.0,0.844,0.678,105.024,0.00569,0.894,216333.0,2.43e-06,0.317,-5.611,0.0523,0.0,The Fame Monster (Deluxe Edition),2008.0,pre_ai
"lover, lover",jerrod niemann,60.0,0.948,0.567,112.472,0.184,0.879,193733.0,0.0,0.622,-6.509,0.0586,1.0,Judge Jerrod & The Hung Jury,2010.0,pre_ai
lovin' all night,patty loveless,13.0,0.681,0.836,171.989,0.195,0.52,217040.0,2.96e-06,0.128,-6.544,0.0548,0.0,On Your Way Home,2003.0,pre_ai
lovin' you is fun,easton corbin,20.0,0.647,0.818,109.952,0.369,0.705,200373.0,0.0,0.364,-2.95,0.0323,1.0,All Over the Road,2012.0,pre_ai
loving you easy,zac brown band,66.0,0.326,0.593,98.982,0.017,0.722,155653.0,1.42e-06,0.067,-3.953,0.0269,1.0,JEKYLL + HYDE,2015.0,post_ai
low,kelly clarkson,16.0,0.517,0.839,142.848,0.0307,0.545,209947.0,0.0,0.0912,-5.595,0.0346,1.0,Breakaway,2003.0,pre_ai
lucky,britney spears,66.0,0.966,0.791,95.026,0.262,0.765,206227.0,0.000154,0.0669,-5.707,0.0317,1.0,Oops!... I Did It Again,2000.0,pre_ai
lucky man,montgomery gentry,51.0,0.532,0.471,133.061,0.368,0.578,196707.0,0.0,0.159,-7.27,0.0289,1.0,Some People Change,2007.0,pre_ai
lullaby,nickelback,44.0,0.374,0.839,135.952,0.000394,0.517,228093.0,0.0,0.111,-4.594,0.0332,1.0,Here And Now,2012.0,pre_ai
lust.,kendrick lamar,66.0,0.566,0.562,94.241,0.193,0.678,307880.0,0.0,0.104,-9.197,0.508,0.0,DAMN.,2017.0,post_ai
luv u better,ll cool j,39.0,0.691,0.782,95.239,0.24,0.656,286773.0,0.0,0.196,-4.601,0.255,1.0,10,2002.0,pre_ai
luxurious,gwen stefani,45.0,0.715,0.715,131.035,0.164,0.816,264920.0,0.0,0.116,-3.96,0.074,1.0,Love Angel Music Baby (Deluxe Version),2005.0,pre_ai
lying from you,linkin park,54.0,0.723,0.951,160.102,0.00777,0.535,175373.0,0.0,0.0669,-3.324,0.18,0.0,Meteora,2003.0,pre_ai
m.a.a.d city,kendrick lamar,15.0,0.217,0.729,91.048,0.0538,0.487,350120.0,4.07e-06,0.44,-6.815,0.271,1.0,"good kid, m.A.A.d city (Deluxe)",2012.0,pre_ai
mad,ne,24.0,0.643,0.659,129.986,0.655,0.727,254533.0,0.0,0.111,-5.368,0.0329,1.0,Year Of The Gentleman,2015.0,post_ai
mad season,matchbox twenty,44.0,0.577,0.87,171.992,0.13,0.278,302107.0,0.0,0.286,-5.368,0.0547,1.0,Mad Season,2000.0,pre_ai
made in the usa,demi lovato,11.0,0.612,0.862,87.314,0.000877,0.38,196093.0,0.0,0.319,-3.886,0.0488,1.0,Demi (Deluxe Edition),2013.0,pre_ai
madiba riddim,drake,65.0,0.319,0.527,105.86,0.235,0.834,205163.0,0.00968,0.632,-10.4,0.193,1.0,More Life,2017.0,post_ai
madness,muse,72.0,0.218,0.417,180.301,0.127,0.502,281040.0,0.00419,0.106,-7.665,0.0718,1.0,The 2nd Law,2012.0,pre_ai
magic stick,lil' kim,58.0,0.504,0.499,92.982,0.117,0.849,359973.0,4.97e-05,0.268,-7.872,0.271,1.0,La Bella Mafia,2003.0,pre_ai
magnificent,rick ross,50.0,0.421,0.747,91.347,0.00913,0.615,257480.0,0.0,0.0888,-7.217,0.156,1.0,Deeper Than Rap,2009.0,pre_ai
magnificent,u2,57.0,0.592,0.715,114.973,0.00012,0.529,324013.0,0.497,0.112,-6.065,0.0348,0.0,No Line On The Horizon,2009.0,pre_ai
make a movie,twista,53.0,0.375,0.774,120.012,0.00752,0.846,202000.0,0.0,0.207,-5.131,0.0509,1.0,The Perfect Storm,2010.0,pre_ai
make her say,kid cudi,57.0,0.438,0.718,99.094,0.261,0.933,216413.0,2.04e-05,0.12,-5.165,0.0815,0.0,Man On The Moon: The End Of Day (Deluxe),2009.0,pre_ai
make it rain,fat joe,55.0,0.767,0.697,149.28,0.0106,0.744,247413.0,0.0,0.0842,-5.063,0.197,0.0,"Me, Myself & I",2007.0,pre_ai
make me feel,janelle monae,69.0,0.697,0.413,115.035,0.132,0.859,194230.0,0.0,0.334,-7.399,0.182,1.0,Dirty Computer,2018.0,post_ai
make me like you,gwen stefani,34.0,0.799,0.714,118.036,0.0403,0.741,216947.0,1.58e-05,0.127,-4.739,0.0476,0.0,This Is What The Truth Feels Like (Deluxe),2016.0,post_ai
make me proud,drake,67.0,0.355,0.486,131.913,0.00268,0.684,219893.0,0.000148,0.157,-10.155,0.132,1.0,Take Care (Deluxe),2011.0,pre_ai
make some noise,hannah montana,11.0,0.396,0.73,155.858,0.0018,0.498,287667.0,0.0,0.0648,-4.348,0.0296,1.0,Hannah Montana 2 · Meet Miley Cyrus,2007.0,pre_ai
makedamnsure,taking back sunday,68.0,0.432,0.837,140.495,0.00941,0.553,208280.0,0.0,0.372,-5.608,0.0452,1.0,Louder Now (Deluxe Edition),2006.0,pre_ai
makes me wonder,maroon 5,42.0,0.881,0.852,113.999,0.00501,0.805,211080.0,0.000343,0.0599,-2.431,0.0363,1.0,It Won't Be Soon Before Long,2007.0,pre_ai
makin' good love,avant,55.0,0.718,0.647,142.268,0.239,0.793,273693.0,0.0,0.124,-3.924,0.0383,0.0,Ecstasy,2002.0,pre_ai
making memories of us,keith urban,43.0,0.3,0.374,103.903,0.796,0.683,251107.0,0.000304,0.105,-10.788,0.0259,1.0,Be Here,2005.0,pre_ai
malibu,miley cyrus,79.0,0.343,0.781,139.934,0.0767,0.573,231907.0,2.64e-05,0.0813,-6.406,0.0555,1.0,Younger Now,2017.0,post_ai
mama's broken heart,miranda lambert,66.0,0.748,0.809,111.989,0.278,0.768,177773.0,0.0,0.139,-4.204,0.0616,0.0,Four The Record,2013.0,pre_ai
mama's song,carrie underwood,32.0,0.269,0.659,79.987,0.442,0.341,240240.0,0.0,0.096,-5.419,0.0357,1.0,Play On,2010.0,pre_ai
man down,rihanna,70.0,0.598,0.896,155.733,0.0479,0.457,267000.0,0.0,0.0503,-3.965,0.189,0.0,Loud,2011.0,pre_ai
man of the woods,justin timberlake,59.0,0.724,0.452,199.775,0.315,0.624,243987.0,1.02e-05,0.311,-8.206,0.0681,1.0,Man of the Woods,2018.0,post_ai
man of the year,schoolboy q,72.0,0.371,0.865,111.914,0.00536,0.749,216013.0,0.0,0.198,-5.228,0.0413,1.0,Oxymoron (Deluxe),2013.0,pre_ai
maneater,nelly furtado,57.0,0.729,0.777,66.404,0.0335,0.717,258840.0,0.000179,0.107,-4.739,0.0636,1.0,Loose,2006.0,pre_ai
maps,maroon 5,28.0,0.879,0.713,120.032,0.0205,0.742,189960.0,0.0,0.059,-5.522,0.0303,0.0,V (Deluxe),2014.0,pre_ai
maps,yeah yeah yeahs,37.0,0.124,0.941,119.783,0.000346,0.502,219987.0,0.319,0.553,-5.194,0.0716,1.0,Fever To Tell,2003.0,pre_ai
march 14,drake,62.0,0.317,0.415,127.096,0.406,0.558,309560.0,0.0,0.36,-7.355,0.358,0.0,Scorpion,2018.0,post_ai
marijuana,kid cudi,26.0,0.54,0.403,140.978,0.829,0.672,260200.0,0.823,0.272,-9.809,0.0273,0.0,Man On The Moon II: The Legend Of Mr. Rager (Explicit Version),2010.0,pre_ai
mark my words,justin bieber,63.0,0.532,0.258,116.599,0.898,0.416,134347.0,2.06e-06,0.147,-8.489,0.0333,1.0,Purpose (Deluxe),2015.0,post_ai
marry for money,trace adkins,5.0,0.685,0.821,125.842,0.0414,0.621,184480.0,0.000483,0.558,-5.553,0.0815,1.0,"Trace Adkins ""X""",2008.0,pre_ai
marry me,jason derulo,38.0,0.23,0.631,105.096,0.033,0.568,225027.0,0.0,0.144,-5.623,0.0273,1.0,Talk Dirty (Deluxe Edition),2013.0,pre_ai
marry the night,lady gaga,54.0,0.407,0.879,131.092,0.00104,0.614,264520.0,0.00438,0.41,-4.422,0.056,1.0,Born This Way,2011.0,pre_ai
marry you,bruno mars,74.0,0.481,0.832,144.926,0.332,0.62,230120.0,0.0,0.104,-4.848,0.036,1.0,Doo-Wops & Hooligans,2011.0,pre_ai
marvin & chardonnay,big sean,56.0,0.813,0.807,133.023,0.0671,0.613,222867.0,0.0,0.322,-2.739,0.0382,0.0,Finally Famous (Deluxe),2011.0,pre_ai
masterpiece,jessie j,64.0,0.613,0.733,143.92,0.0153,0.661,220653.0,0.0,0.0982,-2.701,0.0433,0.0,Sweet Talker (Deluxe Version),2014.0,pre_ai
maybe,sick puppies,14.0,0.537,0.913,167.861,0.0171,0.437,206120.0,0.0,0.284,-4.315,0.0972,1.0,Tri-Polar (Deluxe),2010.0,pre_ai
maybe i deserve,tank,28.0,0.411,0.358,94.014,0.0858,0.803,289267.0,0.0,0.0749,-5.925,0.028,1.0,Force Of Nature,2001.0,pre_ai
mayberry,rascal flatts,52.0,0.37,0.817,88.049,0.296,0.628,272987.0,0.0,0.126,-4.182,0.0433,1.0,Melt,2002.0,pre_ai
me and god,josh turner,50.0,0.842,0.755,153.309,0.237,0.59,179587.0,5.13e-06,0.124,-6.173,0.0286,1.0,Your Man,2006.0,pre_ai
me and my gang,rascal flatts,50.0,0.627,0.902,108.756,0.0789,0.64,217987.0,0.0,0.0453,-3.639,0.0415,1.0,Me And My Gang,2006.0,pre_ai
me and your mama,childish gambino,45.0,0.236,0.438,117.962,0.01,0.552,379227.0,0.0325,0.0663,-12.399,0.0342,1.0,"""Awaken, My Love!""",2016.0,post_ai
me enamora,juanes,5.0,0.916,0.852,94.013,0.0147,0.675,192627.0,0.0,0.0915,-3.918,0.0323,0.0,La Vida Es Un Ratico,2007.0,pre_ai
"me, myself and i",beyonce,68.0,0.536,0.458,83.61,0.226,0.75,301133.0,3.25e-05,0.137,-9.092,0.0803,1.0,Dangerously In Love,2003.0,pre_ai
mean,taylor swift,54.0,0.789,0.761,163.974,0.452,0.568,237733.0,0.0,0.217,-3.987,0.0459,1.0,Speak Now (Deluxe Edition),2010.0,pre_ai
meant to live,switchfoot,57.0,0.556,0.903,151.551,0.00575,0.397,201373.0,1.6e-06,0.362,-4.577,0.0457,1.0,The Beautiful Letdown (Deluxe Version),2003.0,pre_ai
meanwhile back at mama's,tim mcgraw,55.0,0.676,0.679,172.977,0.583,0.524,228107.0,5.79e-05,0.163,-8.68,0.0435,1.0,Sundown Heaven Town (Deluxe Edition),2014.0,pre_ai
meet me halfway,the black eyed peas,68.0,0.4,0.629,130.0,0.00474,0.798,284373.0,2.17e-05,0.324,-6.857,0.0735,0.0,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009.0,pre_ai
megalomaniac,incubus,55.0,0.371,0.943,140.042,0.0056,0.532,294800.0,0.000587,0.317,-4.549,0.0512,0.0,A Crow Left Of The Murder...,2004.0,pre_ai
megaman,lil wayne,56.0,0.335,0.856,101.866,0.0114,0.504,198280.0,0.0,0.256,-5.024,0.286,0.0,Tha Carter IV (Deluxe),2011.0,pre_ai
mercy,dave matthews band,33.0,0.322,0.442,96.007,0.299,0.633,268717.0,2.88e-06,0.0912,-9.394,0.0301,1.0,Away From The World (Deluxe Edition),2012.0,pre_ai
mesmerize,ja rule,46.0,0.376,0.653,90.049,0.0618,0.761,282107.0,0.0,0.326,-6.577,0.182,1.0,Exodus,2002.0,pre_ai
mess,lil wayne,62.0,0.421,0.579,145.994,0.479,0.641,212428.0,9.58e-05,0.214,-8.278,0.0895,1.0,Tha Carter V,2018.0,post_ai
messin' around,pitbull,51.0,0.784,0.81,157.965,0.015,0.569,222693.0,0.0,0.0419,-4.593,0.0473,1.0,Climate Change,2016.0,post_ai
middle child,j. cole,62.0,0.512,0.484,126.023,0.192,0.84,213000.0,0.0,0.282,-6.899,0.241,1.0,Revenge Of The Dreamers III,2019.0,post_ai
midnight city,m83.,56.0,0.272,0.729,105.013,0.0182,0.507,243960.0,1.4e-06,0.0658,-5.399,0.0393,0.0,"Hurry Up, We're Dreaming",2011.0,pre_ai
migrate,mariah carey,24.0,0.484,0.737,81.886,0.0113,0.536,257893.0,0.0,0.0581,-6.893,0.292,1.0,E=MC²,2008.0,pre_ai
million dollar bill,whitney houston,53.0,0.765,0.747,119.899,0.054,0.714,204267.0,0.0,0.0845,-4.134,0.111,0.0,I Look To You,2009.0,pre_ai
million reasons,lady gaga,80.0,0.134,0.424,129.911,0.437,0.665,205280.0,0.0,0.107,-7.838,0.0444,1.0,Joanne (Deluxe),2016.0,post_ai
mine,taylor swift,56.0,0.658,0.757,121.07,0.00265,0.624,230707.0,1.87e-06,0.189,-2.94,0.0296,1.0,Speak Now (Deluxe Edition),2010.0,pre_ai
mine would be you,blake shelton,60.0,0.321,0.529,139.876,0.146,0.572,239507.0,0.0,0.335,-6.897,0.0282,1.0,Based on a True Story... (Deluxe Edition),2013.0,pre_ai
mirror,lil wayne,64.0,0.388,0.622,64.468,0.858,0.331,228093.0,0.0,0.104,-7.291,0.092,0.0,Tha Carter IV (Deluxe),2011.0,pre_ai
mirror mirror,m2m,54.0,0.507,0.685,100.088,0.218,0.696,200427.0,0.0,0.0988,-5.53,0.0246,0.0,Shades Of Purple,2000.0,pre_ai
mirrors,justin timberlake,77.0,0.512,0.512,76.899,0.234,0.574,484147.0,0.0,0.0946,-6.664,0.0503,0.0,The 20/20 Experience (Deluxe Version),2013.0,pre_ai
misery,maroon 5,35.0,0.725,0.808,102.979,0.00031,0.705,216200.0,0.0,0.215,-4.867,0.0428,0.0,Hands All Over (Deluxe),2010.0,pre_ai
misery business,paramore,71.0,0.731,0.906,172.977,0.00272,0.517,211520.0,9.26e-06,0.113,-3.677,0.0735,1.0,RIOT!,2007.0,pre_ai
miss independent,kelly clarkson,19.0,0.599,0.592,176.005,0.0813,0.656,213747.0,0.000369,0.0594,-6.917,0.12,0.0,Breakaway,2003.0,pre_ai
miss independent,ne,23.0,0.74,0.676,171.807,0.525,0.667,232000.0,0.0,0.213,-5.706,0.123,1.0,Year Of The Gentleman,2008.0,pre_ai
miss me,drake,58.0,0.374,0.867,153.939,0.0844,0.474,305520.0,0.0,0.334,-6.027,0.557,0.0,Thank Me Later,2010.0,pre_ai
miss murder,afi,72.0,0.725,0.875,143.526,0.000213,0.309,206587.0,0.00168,0.113,-4.49,0.0488,1.0,DECEMBERUNDERGROUND,2006.0,pre_ai
missing you,case,54.0,0.78,0.602,86.328,0.287,0.613,285667.0,0.0,0.0705,-6.496,0.0497,0.0,Open Letter,2001.0,pre_ai
mistletoe,colbie caillat,2.0,0.307,0.453,125.994,0.0479,0.569,230867.0,0.0,0.127,-8.209,0.0279,1.0,Christmas In The Sand,2012.0,pre_ai
mistletoe,justin bieber,30.0,0.854,0.56,161.994,0.498,0.658,182947.0,0.0,0.0794,-9.049,0.0467,0.0,Under The Mistletoe (Deluxe Edition),2011.0,pre_ai
mjb da mvp,mary j. blige,47.0,0.481,0.739,100.002,0.131,0.745,201213.0,1.23e-06,0.101,-4.461,0.083,0.0,The Breakthrough,2005.0,pre_ai
mob ties,drake,76.0,0.49,0.575,85.987,0.0456,0.755,205147.0,0.00124,0.276,-8.393,0.0678,0.0,Scorpion,2018.0,post_ai
mockingbird,eminem,69.0,0.208,0.678,83.976,0.242,0.592,250760.0,0.0,0.182,-4.411,0.248,0.0,Encore (Deluxe Version),2004.0,pre_ai
mockingbird,rob thomas,4.0,0.613,0.77,141.996,0.0534,0.571,240320.0,1.02e-06,0.129,-5.498,0.0314,1.0,cradlesong,2010.0,pre_ai
moment 4 life,nicki minaj,49.0,0.344,0.883,98.081,0.356,0.471,279307.0,0.0,0.211,-3.905,0.372,1.0,Pink Friday (Deluxe Edition),2010.0,pre_ai
moments,emerson drive,15.0,0.269,0.484,141.198,0.196,0.492,298027.0,0.0,0.0913,-8.017,0.0296,1.0,Countrified,2007.0,pre_ai
monday morning church,alan jackson,33.0,0.213,0.394,135.873,0.252,0.532,201333.0,0.0,0.114,-9.382,0.0287,1.0,Genuine: The Alan Jackson Story,2004.0,pre_ai
money maker,ludacris,37.0,0.612,0.598,79.732,0.149,0.464,230613.0,0.0,0.299,-6.79,0.27,1.0,Release Therapy,2006.0,pre_ai
more like her,miranda lambert,54.0,0.213,0.393,132.746,0.238,0.556,208867.0,0.0,0.0979,-6.589,0.025,1.0,Crazy Ex-Girlfriend,2008.0,pre_ai
more than miles,brantley gilbert,49.0,0.448,0.778,152.005,0.0295,0.47,252867.0,0.000225,0.354,-5.992,0.037,1.0,Halfway To Heaven (Deluxe Edition),2010.0,pre_ai
more than that,backstreet boys,59.0,0.483,0.729,80.061,0.0102,0.58,224933.0,0.0,0.0805,-6.705,0.0287,0.0,Black & Blue,2001.0,pre_ai
most people are good,luke bryan,70.0,0.537,0.728,150.013,0.174,0.582,221801.0,0.0,0.139,-6.151,0.0292,1.0,What Makes You Country,2017.0,post_ai
motiv8,j. cole,68.0,0.596,0.385,149.897,0.135,0.869,133922.0,0.0,0.0931,-7.801,0.297,1.0,KOD,2018.0,post_ai
motivation,kelly rowland,59.0,0.23,0.673,140.9,0.203,0.727,230560.0,7.3e-05,0.106,-5.594,0.0601,0.0,Here I Am (Deluxe Version),2011.0,pre_ai
mountains,lonestar,32.0,0.347,0.767,162.063,0.196,0.458,234400.0,0.0,0.0564,-4.3,0.0481,1.0,Mountains,2006.0,pre_ai
move,luke bryan,62.0,0.778,0.946,103.991,0.00873,0.569,227413.0,0.0,0.0903,-0.698,0.0808,0.0,Kill The Lights (Deluxe),2015.0,post_ai
move along,the all,46.0,0.615,0.921,109.873,0.000221,0.542,238880.0,0.0,0.273,-3.829,0.0569,1.0,Move Along (Deluxe Edition),2005.0,pre_ai
move that body,nelly,5.0,0.537,0.736,111.017,3.85e-05,0.84,205013.0,3.5e-06,0.13,-6.815,0.0382,0.0,5.0 Deluxe,2010.0,pre_ai
moves,big sean,68.0,0.367,0.53,75.515,0.0541,0.789,142907.0,0.0,0.164,-6.2,0.293,1.0,I Decided.,2016.0,post_ai
moving mountains,usher,55.0,0.37,0.734,115.999,0.0856,0.72,298053.0,0.0,0.303,-4.515,0.0316,1.0,Here I Stand,2008.0,pre_ai
mr. brightside,the killers,76.0,0.24,0.918,148.114,0.00119,0.355,222200.0,0.0,0.0971,-4.36,0.0746,1.0,Hot Fuss,2003.0,pre_ai
mr. carter,lil wayne,42.0,0.472,0.71,170.86,0.0445,0.486,316267.0,0.0,0.35,-6.287,0.363,1.0,Tha Carter III,2008.0,pre_ai
mr. jones,mike jones,24.0,0.264,0.748,79.974,0.206,0.653,238947.0,0.0,0.0803,-3.89,0.133,1.0,Mr. Jones,2006.0,pre_ai
mr. know it all,kelly clarkson,20.0,0.489,0.805,95.967,0.0292,0.67,232520.0,0.0,0.0758,-5.127,0.0288,1.0,Stronger (Deluxe Version),2011.0,pre_ai
mr. mom,lonestar,0.0,0.671,0.842,172.136,0.0576,0.505,208693.0,0.0,0.111,-3.316,0.0475,1.0,Let's Be Us Again,2004.0,pre_ai
mr. rager,kid cudi,0.0,0.533,0.734,102.0,0.38,0.675,294213.0,0.895,0.141,-8.659,0.0265,1.0,Man On The Moon II: The Legend Of Mr. Rager (Edited Version),2010.0,pre_ai
mr. saxobeat,alexandra stan,37.0,0.775,0.923,127.033,0.0221,0.716,195051.0,0.00021,0.156,-4.443,0.0515,0.0,Cliche (Hush Hush) [Deluxe Edition],2010.0,pre_ai
mr. wrong,mary j. blige,51.0,0.461,0.676,143.058,0.193,0.693,241853.0,8.18e-06,0.126,-5.024,0.15,0.0,My Life II...The Journey Continues (Act 1) [Deluxe Version],2011.0,pre_ai
mrs. officer,lil wayne,51.0,0.947,0.553,112.021,0.237,0.92,286907.0,0.0,0.0767,-5.068,0.189,1.0,Tha Carter III,2008.0,pre_ai
mrs. right,mindless behavior,49.0,0.52,0.744,71.521,0.0496,0.384,248187.0,0.0,0.0863,-4.754,0.185,1.0,#1 Girl,2011.0,pre_ai
ms. jackson,outkast,79.0,0.615,0.805,94.946,0.142,0.843,270507.0,0.0,0.0771,-5.946,0.269,0.0,Stankonia,2000.0,pre_ai
mud on the tires,brad paisley,58.0,0.463,0.824,185.217,0.294,0.448,206720.0,3.81e-05,0.662,-5.508,0.0478,1.0,Hits Alive,2004.0,pre_ai
music,erick sermon,1.0,0.884,0.466,100.01,0.187,0.897,223133.0,1.35e-06,0.0757,-9.053,0.203,0.0,Music,2001.0,pre_ai
music,madonna,58.0,0.862,0.833,119.847,0.00132,0.734,224240.0,0.0824,0.2,-8.166,0.0644,1.0,Music,2000.0,pre_ai
music box,eminem,52.0,0.427,0.719,81.66,0.0136,0.462,304907.0,0.0,0.224,-5.109,0.251,0.0,Relapse: Refill,2009.0,pre_ai
must be doin' somethin' right,billy currington,64.0,0.395,0.656,167.804,0.212,0.486,269587.0,0.0,0.0555,-3.36,0.0275,1.0,Doin' Somethin' Right,2005.0,pre_ai
must be nice,lyfe jennings,57.0,0.647,0.401,82.942,0.657,0.446,233440.0,0.0,0.127,-11.232,0.382,1.0,Lyfe 268-192,2004.0,pre_ai
my apocalypse,metallica,47.0,0.279,0.993,199.915,0.000199,0.262,301013.0,0.00182,0.0962,-1.27,0.199,0.0,Death Magnetic,2008.0,pre_ai
my baby's guns n' roses,brantley gilbert,12.0,0.657,0.887,141.009,0.0241,0.489,213893.0,2.13e-06,0.392,-4.093,0.0701,1.0,Just As I Am (Deluxe),2014.0,pre_ai
my best days are ahead of me,danny gokey,36.0,0.398,0.822,119.997,0.109,0.615,186133.0,0.0,0.127,-4.499,0.0399,1.0,My Best Days,2010.0,pre_ai
my blood,twenty one pilots,76.0,0.674,0.723,108.999,0.0563,0.749,229120.0,0.022,0.0977,-6.609,0.0432,1.0,Trench,2018.0,post_ai
my body,young the giant,49.0,0.643,0.909,129.774,0.0011,0.488,244400.0,1.02e-05,0.456,-6.591,0.0929,1.0,Young the Giant,2011.0,pre_ai
my chick bad,ludacris,66.0,0.757,0.723,84.789,0.172,0.624,216933.0,0.0,0.483,-6.782,0.378,1.0,Battle Of The Sexes (Deluxe),2010.0,pre_ai
my first love,avant,53.0,0.414,0.368,125.95,0.0237,0.643,268516.0,1.35e-06,0.157,-8.379,0.033,0.0,My Thoughts,2000.0,pre_ai
my friends over you,new found glory,33.0,0.486,0.979,177.807,0.000301,0.388,222400.0,1.78e-06,0.178,-3.126,0.11,1.0,Hits,2002.0,pre_ai
my give a damn's busted,jo dee messina,48.0,0.766,0.874,103.98,0.143,0.665,198960.0,1.05e-05,0.251,-4.082,0.0308,1.0,Delicious Surprise,2005.0,pre_ai
my happy ending,avril lavigne,69.0,0.74,0.936,170.229,0.00136,0.414,242413.0,0.0,0.369,-2.407,0.0758,1.0,Under My Skin,2004.0,pre_ai
my homies still,lil wayne,49.0,0.472,0.643,74.996,0.00124,0.749,246560.0,0.0,0.111,-5.537,0.257,1.0,I Am Not A Human Being II (Deluxe),2012.0,pre_ai
my house,flo rida,20.0,0.74,0.702,94.006,0.0215,0.688,192191.0,0.0,0.128,-4.792,0.0499,0.0,My House,2015.0,post_ai
my humps,the black eyed peas,27.0,0.604,0.68,123.968,0.128,0.799,326827.0,8.54e-06,0.11,-5.921,0.232,0.0,Monkey Business,2005.0,pre_ai
my immortal,evanescence,75.0,0.0776,0.29,68.992,0.862,0.186,262533.0,0.0,0.13,-9.008,0.0333,1.0,Fallen,2003.0,pre_ai
my last,big sean,59.0,0.368,0.773,78.629,0.098,0.387,254120.0,0.0,0.209,-5.685,0.17,1.0,Finally Famous (Deluxe),2011.0,pre_ai
my life,the game,6.0,0.381,0.766,148.123,0.073,0.672,320893.0,0.0,0.0567,-5.018,0.35,1.0,LAX,2008.0,pre_ai
my life would suck without you,kelly clarkson,2.0,0.424,0.882,144.982,0.0014,0.526,211493.0,0.0,0.144,-4.006,0.0509,1.0,All I Ever Wanted,2009.0,pre_ai
my love goes on and on,chris cagle,21.0,0.953,0.923,161.934,0.291,0.582,185333.0,0.0,0.0621,-6.782,0.0555,1.0,Play It Loud,2000.0,pre_ai
my old friend,tim mcgraw,35.0,0.591,0.819,183.998,0.212,0.463,217067.0,0.000268,0.0599,-7.662,0.0357,1.0,Live Like You Were Dying,2004.0,pre_ai
my old man,zac brown band,59.0,0.301,0.196,143.919,0.819,0.64,227222.0,3.63e-05,0.0978,-11.478,0.0267,1.0,Welcome Home,2017.0,post_ai
my place,nelly,42.0,0.6,0.638,81.575,0.0566,0.632,336507.0,1.25e-06,0.236,-4.241,0.0387,0.0,Suit,2004.0,pre_ai
my pyt,wale,55.0,0.456,0.481,191.991,0.0139,0.554,236867.0,0.0,0.0787,-9.823,0.329,1.0,SHINE,2016.0,post_ai
my sacrifice,creed,71.0,0.257,0.88,146.349,0.000101,0.32,294600.0,4.31e-06,0.076,-6.035,0.0504,1.0,Weathered,2001.0,pre_ai
my story,r. kelly,1.0,0.763,0.501,120.045,0.0297,0.939,266573.0,0.0,0.214,-5.476,0.0893,0.0,Black Panties (Deluxe Version),2013.0,pre_ai
my town,montgomery gentry,39.0,0.547,0.901,93.834,0.002,0.517,265733.0,0.0,0.336,-5.681,0.0508,1.0,My Town,2002.0,pre_ai
my way,limp bizkit,17.0,0.608,0.866,97.084,0.0121,0.552,273000.0,4.64e-06,0.689,-3.14,0.0475,1.0,Chocolate Starfish And The Hot Dog Flavored Water,2001.0,pre_ai
