Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,period
about us,brooke hogan,14.0,0.647,0.779,83.326,0.198,0.803,203347.0,0.0,0.333,-3.886,0.256,0.0,Undiscovered,2006.0,pre_ai
about you,trey songz,57.0,0.718,0.564,204.002,0.0959,0.582,196900.0,0.0,0.26,-4.066,0.0837,0.0,Trigga Reloaded,2015.0,post_ai
absolute,the fray,44.0,0.503,0.836,140.515,0.0316,0.413,227080.0,0.0,0.293,-5.593,0.0371,1.0,The Fray,2009.0,pre_ai
accidental racist,brad paisley,0.0,0.393,0.602,139.954,0.507,0.608,351173.0,0.0,0.129,-6.346,0.0393,1.0,Wheelhouse (Deluxe Version),2013.0,pre_ai
according to you,orianthi,43.0,0.538,0.917,131.007,0.0222,0.613,200253.0,5.86e-06,0.105,-2.549,0.054,1.0,Believe,2009.0,pre_ai
act a fool,ludacris,43.0,0.753,0.905,110.165,0.253,0.575,270973.0,0.0,0.269,-2.372,0.338,1.0,Chicken - N - Beer,2003.0,pre_ai
act right,yo gotti,53.0,0.598,0.615,97.999,0.146,0.885,250773.0,0.0,0.0651,-6.714,0.123,1.0,I Am,2013.0,pre_ai
addicted,saving abel,69.0,0.529,0.865,138.017,0.000821,0.512,222827.0,0.0,0.0982,-4.146,0.0338,1.0,Saving Abel,2008.0,pre_ai
adore you,miley cyrus,72.0,0.201,0.655,119.759,0.111,0.583,278747.0,3.57e-06,0.113,-5.407,0.0315,1.0,Bangerz (Deluxe Version),2013.0,pre_ai
adorn,miguel,34.0,0.235,0.576,179.063,0.0543,0.625,193147.0,4.07e-05,0.187,-5.693,0.175,0.0,Kaleidoscope Dream (Deluxe Version),2012.0,pre_ai
adrenalina,wisin,65.0,0.757,0.944,124.987,0.0856,0.685,235547.0,0.0,0.0927,-2.793,0.145,1.0,El Regreso del Sobreviviente (Deluxe Edition),2014.0,pre_ai
aerials,system of a down,22.0,0.253,0.921,79.577,0.000964,0.414,235600.0,0.0184,0.0602,-4.26,0.0511,0.0,Toxicity,2001.0,pre_ai
