Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,RiaaStatus,Label,period
championships,meek mill,59.0,0.319,0.803,167.329,0.0786,0.488,261743.0,0.0,0.215,-4.165,0.205,0,Championships,2018.0,,,post_ai
change,j. cole,66.0,0.242,0.519,107.401,0.642,0.58,331480.0,0.00116,0.0936,-10.653,0.251,0,4 Your Eyez Only,2016.0,,,post_ai
cheap thrills,sia,55.5,0.7434999999999999,0.7430000000000001,89.9625,0.05355,0.61,218080.0,0.00071627,0.10785,-5.266,0.153,0,This Is Acting (Deluxe Edition),2016.0,4x Multi-Platinum,Rca,post_ai
church bells,carrie underwood,25.0,0.549,0.844,87.054,0.232,0.573,194507.0,0.0,0.062,-1.772,0.0648,0,Storyteller,2016.0,Gold,19 Recordings Limited / Arista Nashville,post_ai
cold,maroon 5,3.0,0.43200000000000005,0.712,100.054,0.119,0.697,234307.0,0.0,0.0468,-6.305,0.10900000000000001,0,Red Pill Blues + (Deluxe),2017.0,1x Platinum,222 Records / Interscope,post_ai
come back to earth,mac miller,73.0,0.119,0.238,83.507,0.89,0.272,161840.0,0.00925,0.275,-12.148,0.0349,0,Swimming,2018.0,,,post_ai
coming home,keith urban,61.0,0.57,0.703,88.502,0.216,0.383,213939.0,5.47e-06,0.131,-6.988,0.228,1,Graffiti U,2018.0,,,post_ai
company,justin bieber,72.0,0.42,0.8000000000000002,94.985,0.147,0.617,208120.0,0.0,0.0852,-5.024,0.0654,0,Purpose (Deluxe),2016.0,1x Platinum,Def Jam,post_ai
controlla,drake,65.0,0.321,0.477,93.44,0.0962,0.747,245227.0,0.0,0.114,-11.062,0.276,0,Views,2016.0,3x Multi-Platinum,Young Money / Cash Money / Republic Records,post_ai
cool,jonas brothers,75.0,0.62,0.598,78.969,0.00873,0.6830000000000002,167107.0,0.0,0.156,-5.486999999999999,0.0423,1,Happiness Begins,2019.0,,,post_ai
cranes in the sky,solange,66.0,0.465,0.615,96.988,0.408,0.719,250973.0,0.000147,0.235,-5.972,0.045,1,A Seat at the Table,2016.0,Gold,Columbia,post_ai
cry pretty,carrie underwood,61.0,0.21,0.742,139.953,0.00517,0.37399999999999994,247320.0,0.0,0.11,-3.36,0.043199999999999995,1,Cry Pretty,2018.0,Gold,Captiol Nashville,post_ai
daddy lessons,beyonce,71.0,0.598,0.503,90.886,0.273,0.643,287987.0,0.0,0.349,-8.37,0.216,1,Lemonade,2016.0,,,post_ai
dark necessities,red hot chili peppers,74.0,0.197,0.742,91.959,0.0722,0.7,302000.0,0.0199,0.11,-6.777,0.0716,0,The Getaway,2016.0,,,post_ai
dedicate,lil wayne,65.0,0.723,0.662,117.975,0.033,0.879,189909.0,0.0,0.716,-6.162,0.309,1,Tha Carter V,2018.0,,,post_ai
deja vu,j. cole,71.0,0.187,0.409,174.324,0.361,0.653,264747.0,0.00012000000000000002,0.189,-11.446,0.421,1,4 Your Eyez Only,2016.0,,,post_ai
delicate,taylor swift,76.0,0.0499,0.404,95.045,0.216,0.75,232253.0,0.000357,0.0911,-10.178,0.0682,0,reputation,2017.0,1x Platinum,"Big Machine Records, Inc.",post_ai
demon,lil wayne,58.0,0.345,0.615,140.04,0.273,0.754,214314.0,0.0,0.13,-5.346,0.171,0,Tha Carter V,2018.0,,,post_ai
different for girls,dierks bentley,64.0,0.371,0.785,91.975,0.445,0.661,180360.0,0.000266,0.0854,-5.623,0.0369,1,Black,2016.0,1x Platinum,Capitol Records Nashville,post_ai
digits,young thug,69.0,0.294,0.632,131.932,0.0325,0.769,176387.0,0.0,0.116,-4.228,0.0537,0,Slime Season 3,2016.0,,,post_ai
dirty laundry,carrie underwood,25.0,0.5,0.874,200.126,0.0594,0.457,205093.0,1.18e-05,0.11,-4.126,0.117,0,Storyteller,2016.0,,,post_ai
dive,ed sheeran,78.0,0.526,0.386,134.943,0.355,0.761,238440.0,0.0,0.0953,-6.158,0.0399,1,÷ (Deluxe),2017.0,1x Platinum,Atlantic Records,post_ai
dna.,kendrick lamar,80.0,0.422,0.523,139.913,0.00454,0.638,185947.0,0.0,0.0842,-6.664,0.357,1,DAMN.,2017.0,3x Multi-Platinum,Tde / Aftermath / Interscope,post_ai
do not disturb,drake,72.0,0.465,0.69,171.029,0.234,0.787,283551.0,0.0,0.112,-6.206,0.404,0,More Life,2017.0,1x Platinum,Cash Money / Young Money / Republic Records,post_ai
don't go breaking my heart,backstreet boys,58.0,0.238,0.703,94.858,0.0218,0.541,215724.0,0.0,0.0964,-5.573,0.10200000000000001,1,DNA,2018.0,,,post_ai
don't touch my hair,solange,61.0,0.397,0.411,90.997,0.409,0.823,257547.0,0.00135,0.649,-7.061,0.0557,1,A Seat at the Table,2016.0,,,post_ai
don't wanna know,maroon 5,5.0,0.428,0.6230000000000001,100.079,0.377,0.781,214267.0,0.0,0.0989,-6.098,0.08069999999999998,1,Red Pill Blues + (Deluxe),2016.0,2x Multi-Platinum,222 Records / Interscope,post_ai
down in the dm,yo gotti,64.0,0.324,0.662,152.927,0.00157,0.776,182733.0,2.1e-05,0.0887,-7.016000000000001,0.0489,0,The Art of Hustle (Deluxe),2016.0,2x Multi-Platinum,Epic,post_ai
down to the honkytonk,jake owen,73.0,0.937,0.808,82.02099999999999,0.19,0.6340000000000001,186867.0,0.0,0.0898,-4.12,0.05159999999999999,1,Greetings From...Jake,2018.0,Gold,Big Loud Records,post_ai
duckworth.,kendrick lamar,66.0,0.632,0.731,174.516,0.0536,0.552,248613.0,0.0,0.258,-6.873,0.615,1,DAMN.,2017.0,Gold,Tde / Aftermath / Interscope,post_ai
el amante,nicky jam,60.0,0.732,0.691,179.91,0.243,0.683,219507.0,0.0,0.14,-5.535,0.0432,1,Fenix,2017.0,13x Diamond,Sony Latin,post_ai
element.,kendrick lamar,73.0,0.483,0.705,189.891,0.204,0.748,208733.0,0.0,0.246,-4.547,0.485,0,DAMN.,2017.0,1x Platinum,Tde / Aftermath / Interscope,post_ai
elevate,drake,69.0,0.0541,0.474,76.062,0.015,0.758,184960.0,0.0,0.116,-8.72,0.146,1,Scorpion,2018.0,,,post_ai
emoji a chain,migos,57.0,0.381,0.333,139.965,0.0348,0.891,315185.0,0.0,0.126,-8.316,0.175,1,Culture II,2018.0,,,post_ai
emotionless,drake,69.0,0.0845,0.677,172.501,0.0249,0.413,302173.0,0.0,0.0793,-5.12,0.255,1,Scorpion,2018.0,,,post_ai
end game,taylor swift,70.0,0.151,0.589,159.073,0.00845,0.6490000000000001,244827.0,0.0,0.108,-6.237,0.0558,1,reputation,2017.0,1x Platinum,Big Machine Records,post_ai
eraser,ed sheeran,68.0,0.914,0.812,86.013,0.086,0.64,227427.0,0.0,0.0509,-5.647,0.0834,0,÷ (Deluxe),2017.0,,,post_ai
every time i hear that song,blake shelton,60.0,0.528,0.725,155.855,0.0558,0.523,214800.0,6.96e-06,0.09369999999999999,-5.448,0.0339,1,If I'm Honest,2016.0,,,post_ai
faithful,drake,45.0,0.162,0.447,99.995,0.101,0.538,290133.0,1.68e-05,0.323,-10.546,0.153,1,Views,2016.0,,,post_ai
fake love,drake,76.0,0.605,0.488,133.987,0.10800000000000001,0.927,210937.0,0.0,0.196,-9.433,0.42,0,More Life,2016.0,4x Multi-Platinum,Young Money / Cash Money / Republic Records,post_ai
faking it,calvin harris,65.0,0.668,0.589,120.034,0.319,0.776,240093.0,0.0,0.0715,-4.543,0.115,0,Funk Wav Bounces Vol.1,2017.0,,,post_ai
fall,eminem,75.0,0.535,0.546,182.973,0.227,0.83,262494.0,0.0,0.112,-5.716,0.295,1,Kamikaze,2018.0,,,post_ai
fast,luke bryan,61.0,0.599,0.8979999999999999,145.953,0.22500000000000003,0.548,206213.0,0.0,0.1,-2.561,0.0459,0,Kill The Lights (Deluxe),2016.0,Gold,Capitol Records Nashville,post_ai
fear.,kendrick lamar,66.0,0.434,0.479,150.414,0.604,0.588,460573.0,7.2e-06,0.527,-7.039,0.281,1,DAMN.,2017.0,Gold,Tde / Aftermath / Interscope,post_ai
feel it still,portugal. the man,81.0,0.754,0.795,79.028,0.0417,0.801,163253.0,0.000113,0.0717,-5.115,0.0504,0,Woodstock,2017.0,,,post_ai
feel no ways,drake,50.0,0.233,0.67,193.80000000000004,0.0331,0.584,240653.0,7.18e-06,0.109,-7.077000000000001,0.164,1,Views,2016.0,1x Platinum,Cash Money / Young Money / Republic Records,post_ai
feel.,kendrick lamar,66.0,0.553,0.798,109.968,0.137,0.746,214827.0,0.0,0.139,-8.382,0.349,1,DAMN.,2017.0,Gold,Tde / Aftermath / Interscope,post_ai
feels,calvin harris,76.0,0.872,0.745,101.018,0.0642,0.8930000000000001,223413.0,0.0,0.0943,-3.105,0.057100000000000005,0,Funk Wav Bounces Vol.1,2017.0,2x Multi-Platinum,Columbia,post_ai
female,keith urban,63.0,0.321,0.47700000000000004,85.019,0.18600000000000003,0.567,195317.0,4.860000000000001e-05,0.111,-8.781,0.0331,0,Graffiti U,2017.0,,,post_ai
filthy,justin timberlake,62.0,0.645,0.579,97.002,0.0354,0.745,293947.0,0.0118,0.246,-5.771,0.138,1,Man of the Woods,2018.0,,,post_ai
