Track,Artist,Year,Duration,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Pretty Heart,Parker McCollum,2020,244797,0.562,0.683,-4.427,1,0.0296,0.00531,0.0,0.107,0.384,132.0,58
El Belicon,Peso Pluma,2023,214397,0.409,0.713,-6.713,1,0.03,0.434,0.000719,0.206,0.725,97.029,67
Por Las Noches,Peso Pluma,2023,238888,0.69,0.597,-7.494,0,0.0395,0.311,4.18e-05,0.0727,0.453,185.084,74
PRC,Peso Pluma,2023,184066,0.784,0.826,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,73
ROSA PASTEL,Peso Pluma,2023,204253,0.702,0.68,-5.451,0,0.0373,0.24,0.0,0.111,0.86,122.895,69
VINO TINTO,Peso Pluma,2023,245997,0.664,0.769,-5.056,1,0.184,0.406,0.0,0.17,0.542,134.97,81
Break It Off,PinkPantheress,2023,95317,0.544,0.888,-5.003,0,0.116,0.00311,7.8e-06,0.076,0.746,171.69,62
Do You Miss Me?,PinkPantheress,2023,128853,0.647,0.871,-7.144,0,0.0936,0.0976,0.000534,0.173,0.643,129.928,56
I Must Apologise,PinkPantheress,2023,108373,0.616,0.856,-6.098,1,0.0457,0.516,0.0652,0.245,0.75,157.109,72
Just for Me,PinkPantheress,2022,116213,0.804,0.609,-7.848,1,0.0633,0.68,0.00253,0.261,0.713,133.043,64
Noticed I Cried,PinkPantheress,2023,82226,0.499,0.856,-5.705,1,0.061,0.0544,0.131,0.0734,0.394,163.956,54
Pain,PinkPantheress,2023,98544,0.829,0.617,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,83
Turn it up,PinkPantheress,2023,147020,0.771,0.565,-9.407,1,0.0299,0.672,0.000112,0.195,0.444,132.339,71
Where You Are (feat. WILLOW),PinkPantheress,2023,153706,0.689,0.872,-4.786,1,0.0477,0.0965,0.000498,0.117,0.362,134.994,55
Call On Me,RAYE,2023,194880,0.582,0.889,-4.386,1,0.0491,0.021,0.0,0.687,0.438,121.977,45
Confidence,RAYE,2023,170666,0.635,0.785,-4.421,0,0.25,0.442,0.0,0.0935,0.809,102.742,44
Escapism.,RAYE,2023,272373,0.538,0.742,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,78
Natalie Don't,RAYE,2023,194346,0.807,0.533,-4.899,0,0.0443,0.176,0.0,0.284,0.853,124.006,51
Regardless,RAYE,2023,197573,0.749,0.82,-6.114,1,0.0478,0.0205,0.000685,0.0775,0.534,120.066,56
Bad Commando,Rema,2023,105002,0.627,0.512,-7.401,0,0.123,0.584,0.0,0.128,0.57,95.334,45
Bounce,Rema,2022,187782,0.463,0.847,-6.776,0,0.0511,0.0307,0.0,0.117,0.625,114.962,57
Calm Down,Rema,2022,219813,0.811,0.781,-6.333,1,0.0428,0.376,0.001,0.121,0.824,107.007,73
Dumebi,Rema,2019,179775,0.923,0.657,-5.173,0,0.0605,0.199,0.00407,0.108,0.734,110.015,65
Ginger Me,Rema,2023,205892,0.567,0.577,-7.833,0,0.134,0.134,0.000397,0.145,0.719,200.008,49
Iron Man,Rema,2023,201693,0.759,0.564,-3.584,0,0.0502,0.589,0.0357,0.0899,0.519,99.966,48
Lady,Rema,2023,213375,0.889,0.798,-6.62,1,0.256,0.0245,0.0,0.0671,0.594,119.969,42
