Track,Artist,Year,Duration,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
7 rings,Ariana Grande,2019,178626,0.78,0.321,-10.747,0,0.372,0.562,0.0,0.0881,0.315,139.961,50
Dangerous Woman,Ariana Grande,2016,235946,0.664,0.602,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,70
God is a woman,Ariana Grande,2018,197546,0.602,0.658,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,75
Into You,Ariana Grande,2016,244453,0.623,0.734,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,71
no tears left to cry,Ariana Grande,2018,205920,0.699,0.713,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,75
positions,Ariana Grande,2020,172324,0.737,0.802,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,79
Side To Side,Ariana Grande,2017,226160,0.649,0.736,-5.84,0,0.23,0.0528,0.0,0.235,0.612,159.182,66
"thank u, next",Ariana Grande,2019,207320,0.72,0.654,-5.634,1,0.0647,0.227,0.0,0.101,0.411,106.976,78
Callaita,Bad Bunny,2019,250533,0.608,0.626,-4.773,1,0.301,0.597,2.16e-06,0.25,0.246,176.086,76
DÁKITI,Bad Bunny,2020,205090,0.731,0.573,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,77
MIA,Bad Bunny,2018,210367,0.816,0.538,-6.354,0,0.0617,0.0142,0.000485,0.099,0.156,97.055,75
Safaera,Bad Bunny,2020,295176,0.607,0.829,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,74
Vete,Bad Bunny,2019,192024,0.886,0.672,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,69
Yo Perreo Sola,Bad Bunny,2020,172127,0.86,0.758,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,71
Fall In Love,Bailey Zimmerman,2023,232058,0.524,0.643,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,75
Get to Gettin’ Gone,Bailey Zimmerman,2022,182465,0.584,0.68,-6.781,1,0.0351,0.285,0.0,0.0901,0.55,146.093,64
Religiously,Bailey Zimmerman,2023,178723,0.57,0.67,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,77
Rock and A Hard Place,Bailey Zimmerman,2022,207540,0.582,0.568,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,79
Small Town Crazy,Bailey Zimmerman,2023,162352,0.502,0.877,-2.847,1,0.0746,0.0129,0.0,0.244,0.696,170.123,55
Trainwreck,Bailey Zimmerman,2022,210869,0.509,0.803,-5.543,1,0.0272,0.0772,0.0,0.133,0.373,138.022,53
Where It Ends,Bailey Zimmerman,2023,179294,0.431,0.837,-5.067,1,0.0432,0.259,0.0,0.0879,0.648,170.041,80
I'm a Mess,Bebe Rexha,2018,195519,0.63,0.694,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,70
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2017,163870,0.643,0.783,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,71
No Broken Hearts (feat. Nicki Minaj),Bebe Rexha,2017,239991,0.704,0.722,-3.524,1,0.045,0.0522,0.0,0.0645,0.675,122.094,53
Sacrifice,Bebe Rexha,2022,160871,0.659,0.877,-5.089,0,0.0288,0.0878,0.0,0.094,0.471,119.992,51
The Way I Are (Dance with Somebody) [feat. Lil Wayne],Bebe Rexha,2018,187787,0.466,0.659,-6.077,1,0.115,0.00282,0.0,0.273,0.36,186.169,52
"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",Bebe Rexha,2019,158258,0.394,0.718,-6.336,1,0.0607,0.706,0.0,0.116,0.247,151.912,54
Formation,Beyoncé,2016,206080,0.896,0.621,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,68
bad guy,Billie Eilish,2019,194087,0.701,0.425,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,81
bury a friend,Billie Eilish,2019,193143,0.905,0.389,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,73
everything i wanted,Billie Eilish,2019,245425,0.704,0.225,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,82
idontwannabeyouanymore,Billie Eilish,2017,203569,0.483,0.412,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,77
lovely (with Khalid),Billie Eilish,2018,200185,0.351,0.296,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,87
my future,Billie Eilish,2020,208155,0.444,0.309,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,67
Therefore I Am,Billie Eilish,2020,173539,0.879,0.365,-7.781,1,0.0924,0.227,0.135,0.0583,0.663,94.016,72
when the party's over,Billie Eilish,2018,196077,0.367,0.111,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,83
Your Power,Billie Eilish,2021,245896,0.632,0.284,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,72
Bartier Cardi (feat. 21 Savage),Cardi B,2017,224284,0.908,0.524,-7.955,1,0.181,0.00111,0.000678,0.383,0.109,138.015,60
Be Careful,Cardi B,2018,210787,0.82,0.568,-8.23,0,0.411,0.0256,0.0,0.0952,0.535,152.279,67
Bodak Yellow,Cardi B,2017,223712,0.926,0.703,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,70
Drip (feat. Migos),Cardi B,2018,262308,0.968,0.589,-7.808,1,0.255,0.0511,0.0,0.0731,0.268,129.993,54
I Like It,Cardi B,2018,253390,0.816,0.726,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,77
Money,Cardi B,2018,183527,0.95,0.59,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,69
Please Me,Cardi B,2019,200889,0.747,0.57,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,75
Press,Cardi B,2020,143791,0.888,0.525,-5.665,1,0.305,0.029,5.68e-06,0.137,0.243,133.983,61
Up,Cardi B,2021,156944,0.868,0.795,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,65
WAP (feat. Megan Thee Stallion),Cardi B,2020,187541,0.935,0.454,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,77
Fine China,Chris Brown,2019,213200,0.654,0.731,-4.767,0,0.0568,0.0419,0.0,0.122,0.59,104.002,61
Forever,Chris Brown,2019,278573,0.672,0.82,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,76
Loyal (feat. Lil Wayne & Tyga),Chris Brown,2018,264946,0.841,0.522,-5.963,0,0.049,0.0168,1.37e-06,0.188,0.616,99.059,74
No Guidance (feat. Drake),Chris Brown,2019,260640,0.696,0.454,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,76
Strip (feat. Kevin McCall),Chris Brown,2018,167813,0.803,0.79,-4.353,1,0.125,0.00863,0.0,0.0441,0.712,94.982,57
Almost There,Coco Jones,2023,238070,0.57,0.512,-6.725,1,0.0518,0.0715,8.42e-05,0.1,0.295,82.568,49
Double Back,Coco Jones,2023,159244,0.669,0.55,-5.352,0,0.108,0.203,0.0,0.127,0.133,79.99,55
Here We Go (Uh Oh),Coco Jones,2023,216507,0.401,0.749,-2.341,0,0.17,0.322,0.000161,0.117,0.474,177.165,65
ICU,Coco Jones,2022,241624,0.587,0.447,-6.765,1,0.0641,0.698,0.0,0.113,0.315,124.669,65
Sweep It Up,Coco Jones,2023,197958,0.508,0.689,-3.265,0,0.0764,0.137,0.0,0.18,0.528,79.907,51
Dirt Cheap,Cody Johnson,2022,239346,0.62,0.507,-5.891,1,0.0307,0.111,0.0,0.101,0.266,120.065,74
Human,Cody Johnson,2021,221520,0.4,0.647,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,67
Long Haired Country Boy (feat. The Rockin' CJB),Cody Johnson,2023,257079,0.539,0.786,-4.884,1,0.0269,0.00228,1.79e-05,0.121,0.503,88.969,53
Me and My Kind,Cody Johnson,2016,156200,0.588,0.807,-3.426,1,0.0283,0.0835,0.0,0.109,0.674,110.014,75
Monday Morning Merle,Cody Johnson,2023,229120,0.596,0.58,-6.318,1,0.0229,0.257,0.000102,0.196,0.409,93.979,50
Nothin' on You,Cody Johnson,2018,260466,0.358,0.358,-7.18,1,0.0307,0.566,0.000232,0.104,0.158,134.629,63
On My Way to You,Cody Johnson,2019,213306,0.443,0.538,-5.477,1,0.0309,0.327,4.61e-05,0.0866,0.245,157.97,63
The Painter,Cody Johnson,2022,211413,0.512,0.709,-5.766,1,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,69
Til You Can't,Cody Johnson,2021,224213,0.501,0.815,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,73
BIG PURR (Prrdd) (feat. Pooh Shiesty),Coi Leray,2021,116760,0.774,0.412,-8.619,1,0.378,0.026,0.0,0.088,0.38,139.943,46
Blick Blick (with Nicki Minaj),Coi Leray,2022,178413,0.916,0.824,-4.444,0,0.422,0.222,0.00108,0.0661,0.87,139.926,51
No More Parties,Coi Leray,2021,140920,0.847,0.405,-10.901,1,0.584,0.232,5.37e-06,0.0944,0.588,156.999,46
Players,Coi Leray,2022,139560,0.948,0.512,-5.74,0,0.146,0.0269,8.57e-06,0.0504,0.599,105.004,71
TWINNEM,Coi Leray,2021,117066,0.885,0.353,-10.484,1,0.0912,0.0866,5.78e-05,0.173,0.316,134.079,47
Break Up in the End,Cole Swindell,2018,199693,0.507,0.372,-8.433,1,0.0303,0.481,0.0,0.271,0.257,86.422,61
Forever To Me,Cole Swindell,2019,179666,0.56,0.555,-7.612,1,0.0318,0.166,0.0,0.0837,0.328,153.986,60
Love You Too Late,Cole Swindell,2019,204720,0.542,0.797,-4.45,0,0.0379,0.00111,0.0,0.0906,0.593,113.95,54
She Had Me At Heads Carolina,Cole Swindell,2022,206106,0.607,0.912,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,74
Somebody's Been Drinkin',Cole Swindell,2021,225266,0.481,0.775,-5.494,1,0.0597,0.0169,1.39e-05,0.0978,0.273,136.035,39
Stay Downtown,Cole Swindell,2021,201866,0.336,0.758,-4.187,1,0.0451,0.00275,0.0,0.189,0.236,77.807,42
You Should Be Here,Cole Swindell,2016,190173,0.489,0.641,-4.455,1,0.0282,0.0592,0.0,0.0857,0.303,136.095,61
Never Ready,Corey Kent,2022,281306,0.478,0.653,-7.058,1,0.0312,0.0819,0.0,0.106,0.348,152.005,56
Now or Never (feat. Lauren Alaina),Corey Kent,2022,174946,0.478,0.768,-4.784,1,0.0342,0.102,0.0,0.101,0.465,110.046,55
Rust,Corey Kent,2022,169720,0.469,0.813,-4.875,0,0.0422,0.00714,0.0,0.131,0.406,120.894,59
Something's Gonna Kill Me,Corey Kent,2022,183680,0.659,0.823,-5.77,0,0.0415,0.0174,1.82e-06,0.11,0.405,112.931,65
This Heart,Corey Kent,2022,186973,0.406,0.843,-5.124,0,0.0526,0.0889,0.0,0.158,0.271,150.054,68
Wild as Her,Corey Kent,2023,199733,0.504,0.736,-6.079,1,0.0352,0.00216,0.0,0.129,0.46,148.014,61
Here With Me,d4vd,2022,242484,0.575,0.45,-9.306,1,0.0259,0.531,6.59e-05,0.124,0.263,132.039,84
Once More,d4vd,2022,121695,0.672,0.253,-12.71,0,0.0395,0.864,0.0,0.0787,0.409,76.481,60
Romantic Homicide,d4vd,2022,132630,0.571,0.544,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,86
Sleep Well,d4vd,2023,175875,0.37,0.358,-10.633,1,0.0317,0.799,7.08e-06,0.142,0.186,147.581,74
There Goes My Baby,d4vd,2023,210666,0.531,0.307,-8.92,1,0.0316,0.852,8.25e-06,0.157,0.25,118.652,69
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,2015,192560,0.596,0.73,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,62
Burn,David Kushner,2023,179173,0.574,0.408,-9.733,1,0.0359,0.799,0.00295,0.15,0.134,126.127,70
Daylight,David Kushner,2023,212953,0.508,0.43,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,87
Hero,David Kushner,2023,206218,0.4,0.335,-8.355,1,0.0389,0.673,0.0,0.0856,0.208,99.378,66
Mr. Forgettable,David Kushner,2023,187293,0.564,0.412,-9.23,0,0.0274,0.554,0.0,0.151,0.29,144.689,71
Skin and Bones,David Kushner,2023,214632,0.484,0.457,-10.205,1,0.0376,0.649,0.477,0.148,0.17,116.9,72
Alter Ego (with JT),Doechii,2023,204094,0.841,0.725,-5.314,0,0.0624,0.00821,2.15e-06,0.519,0.731,127.047,66
Crazy,Doechii,2023,134116,0.841,0.879,-4.336,1,0.0743,0.0055,0.00211,0.101,0.458,128.966,51
Persuasive,Doechii,2023,216707,0.822,0.627,-5.826,0,0.126,0.143,0.0,0.146,0.5,120.057,51
ROCKET,Doechii,2023,166315,0.622,0.78,-6.441,1,0.341,0.0702,0.00233,0.331,0.755,113.184,59
What It Is (Solo Version),Doechii,2023,189824,0.74,0.758,-5.851,0,0.0921,0.061,1.44e-06,0.0967,0.757,171.925,73
Yucky Blucky Fruitcake,Doechii,2023,275526,0.596,0.617,-7.52,1,0.286,0.481,0.0,0.659,0.906,98.099,53
Boss Bitch,Doja Cat,2021,134239,0.707,0.955,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,76
Juicy,Doja Cat,2019,203093,0.785,0.652,-2.607,1,0.0668,0.102,0.0,0.0697,0.484,170.024,67
Kiss Me More (feat. SZA),Doja Cat,2021,208666,0.764,0.705,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,81
Paint The Town Red,Doja Cat,2023,231750,0.868,0.538,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,81
Rules,Doja Cat,2019,187040,0.651,0.724,-5.457,1,0.166,0.172,0.0,0.13,0.686,144.146,72
Say So,Doja Cat,2020,237893,0.787,0.673,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,75
Streets,Doja Cat,2020,226986,0.749,0.463,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,80
Vegas,Doja Cat,2022,183026,0.789,0.604,-7.616,0,0.25,0.0768,4.89e-05,0.137,0.765,159.979,56
Woman,Doja Cat,2021,172626,0.824,0.764,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,82
You Right,Doja Cat,2021,186173,0.828,0.621,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,76
Be the One,Dua Lipa,2017,202914,0.661,0.651,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,67
Break My Heart,Dua Lipa,2020,221820,0.73,0.729,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,75
Don't Start Now,Dua Lipa,2019,183290,0.793,0.793,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,84
IDGAF,Dua Lipa,2018,217946,0.836,0.544,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,79
Levitating,Dua Lipa,2020,203807,0.695,0.884,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,77
Love Again,Dua Lipa,2021,258004,0.659,0.667,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,72
New Rules,Dua Lipa,2017,209320,0.762,0.7,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,82
Physical,Dua Lipa,2020,193829,0.647,0.844,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,78
We're Good,Dua Lipa,2021,165506,0.722,0.588,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01,68
Bad Habits,Ed Sheeran,2021,230746,0.807,0.893,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,80
Castle on the Hill,Ed Sheeran,2017,261153,0.461,0.834,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,78
Galway Girl,Ed Sheeran,2017,170826,0.624,0.876,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,77
Happier,Ed Sheeran,2018,207520,0.522,0.385,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,75
I Don't Care (with Justin Bieber),Ed Sheeran,2019,219946,0.798,0.676,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,74
Perfect,Ed Sheeran,2017,263400,0.599,0.448,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,86
Photograph,Ed Sheeran,2015,258986,0.614,0.379,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,82
Shape of You,Ed Sheeran,2017,233712,0.825,0.652,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,85
Shivers,Ed Sheeran,2021,207853,0.788,0.859,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,82
Con Tus Besos,Eslabon Armado,2023,226821,0.681,0.664,-8.019,0,0.0353,0.335,0.0,0.0418,0.861,102.166,71
HASTA LA MUERTE,Eslabon Armado,2022,209902,0.555,0.832,-3.691,1,0.0412,0.28,0.0,0.0894,0.43,170.124,74
Tú Eres,Eslabon Armado,2023,245203,0.62,0.461,-7.688,1,0.0268,0.605,2.9e-05,0.0758,0.561,97.659,44
Lovin' Me,FIFTY FIFTY,2023,189809,0.459,0.543,-8.763,1,0.408,0.637,3.08e-05,0.0886,0.556,170.881,44
Bebe Dame,Fuerza Regida,2022,271861,0.537,0.602,-4.631,1,0.0458,0.296,0.0,0.0715,0.753,157.437,71
CRAZYZ,Fuerza Regida,2023,204815,0.809,0.849,-6.769,0,0.0738,0.251,7.36e-05,0.325,0.753,126.0,79
NEL,Fuerza Regida,2022,149073,0.69,0.482,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,84
Radicamos En South Central,Fuerza Regida,2023,228853,0.748,0.739,-1.972,1,0.0381,0.461,4.7e-06,0.0834,0.962,115.966,62
Sigo Chambeando,Fuerza Regida,2023,200161,0.819,0.48,-6.966,1,0.0489,0.685,2.03e-06,0.116,0.759,114.04,63
NO SE VA - EN VIVO,Grupo Frontera,2023,193816,0.57,0.71,-4.526,1,0.0304,0.0898,0.0,0.292,0.752,172.719,78
QUE VUELVAS,Grupo Frontera,2023,169418,0.497,0.644,-4.309,1,0.0443,0.188,0.0,0.114,0.779,162.542,81
un x100to,Grupo Frontera,2023,194563,0.571,0.72,-4.089,1,0.0458,0.213,0.0,0.271,0.542,83.827,79
Baby Birkin,Gunna,2021,181948,0.848,0.649,-6.083,1,0.315,0.232,0.0,0.101,0.629,118.04,57
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,2021,197760,0.825,0.458,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,68
pushin P (feat. Young Thug),Gunna,2022,136266,0.773,0.422,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,69
rodeo dr,Gunna,2022,176946,0.8,0.754,-5.259,0,0.216,0.0668,0.0,0.278,0.334,134.136,60
Sold Out Dates (feat. Lil Baby),Gunna,2022,166368,0.817,0.556,-7.178,0,0.14,0.469,0.0,0.131,0.314,126.991,66
GIVE HEAVEN SOME HELL,HARDY,2021,217801,0.639,0.839,-4.99,1,0.0364,0.0529,0.0,0.0854,0.528,126.057,70
REDNECKER,HARDY,2020,201832,0.536,0.751,-5.472,1,0.0342,0.0506,9.63e-05,0.1,0.51,143.977,65
ROCKSTAR,HARDY,2020,194341,0.542,0.962,-3.096,1,0.0911,0.000474,0.00103,0.166,0.659,150.025,63
TRUCK BED,HARDY,2021,167534,0.663,0.77,-4.88,1,0.0371,0.0876,0.0,0.352,0.772,132.058,79
WHERE YA AT,HARDY,2022,179506,0.635,0.97,-4.03,1,0.0481,0.0087,1.88e-05,0.393,0.712,117.981,42
Adore You,Harry Styles,2019,207133,0.676,0.771,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,82
As It Was,Harry Styles,2022,167303,0.52,0.731,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,91
Falling,Harry Styles,2020,240133,0.567,0.267,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,79
Golden,Harry Styles,2020,208906,0.448,0.838,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,74
Kiwi,Harry Styles,2017,176386,0.375,0.93,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124,69
Lights Up,Harry Styles,2019,172213,0.575,0.621,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.987,69
Sign of the Times,Harry Styles,2017,340706,0.516,0.595,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,81
Sweet Creature,Harry Styles,2017,224866,0.427,0.262,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,71
Treat People With Kindness,Harry Styles,2021,197346,0.653,0.869,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017,62
Watermelon Sugar,Harry Styles,2020,174000,0.548,0.816,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,86
Bikini Bottom,Ice Spice,2023,106666,0.749,0.629,-5.434,1,0.216,0.21,1.62e-06,0.0849,0.577,161.945,60
Deli,Ice Spice,2023,126857,0.793,0.768,-6.244,1,0.144,0.118,3.65e-05,0.114,0.261,140.141,73
Did It First (with Central Cee),Ice Spice,2023,118002,0.635,0.574,-7.453,1,0.322,0.229,0.0,0.126,0.592,153.938,86
In Ha Mood,Ice Spice,2022,129360,0.767,0.722,-6.586,1,0.31,0.678,1.1e-05,0.231,0.52,141.075,67
Munch (Feelin’ U),Ice Spice,2022,104819,0.811,0.528,-7.278,0,0.275,0.291,0.0,0.0787,0.635,166.084,64
No Clarity,Ice Spice,2023,108169,0.613,0.668,-5.812,1,0.2,0.591,1.37e-05,0.169,0.716,141.826,52
Phat Butt,Ice Spice,2023,129293,0.749,0.512,-9.28,1,0.19,0.0526,0.0282,0.116,0.111,165.093,64
LA CANCIÓN,J Balvin,2019,242573,0.756,0.646,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429,176.088,84
QUE PRETENDES,J Balvin,2020,222346,0.639,0.791,-4.443,0,0.254,0.0275,0.0,0.362,0.933,92.603,76
1985 - Intro to “The Fall Off”,J. Cole,2018,190176,0.679,0.648,-5.892,1,0.445,0.145,0.0,0.182,0.635,94.378,57
ATM,J. Cole,2018,216726,0.772,0.498,-7.661,1,0.649,0.115,0.0,0.0898,0.351,81.817,57
Deja Vu,J. Cole,2018,264746,0.657,0.421,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,67
False Prophets,J. Cole,2016,237426,0.729,0.739,-9.5,0,0.338,0.696,9.37e-06,0.164,0.749,90.306,55
Love Yourz,J. Cole,2018,211496,0.677,0.638,-8.631,1,0.333,0.589,0.0,0.193,0.435,82.81,74
Neighbors,J. Cole,2018,216520,0.898,0.283,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97,69
Any Ol' Barstool,Jason Aldean,2016,203293,0.539,0.722,-4.163,1,0.0282,0.314,0.0,0.117,0.497,143.78,59
You Make It Easy,Jason Aldean,2018,193226,0.542,0.571,-5.299,1,0.028,0.156,0.0,0.101,0.506,131.877,72
Creature,Jelly Roll,2023,239592,0.763,0.603,-9.201,1,0.0788,0.176,0.0,0.0863,0.402,140.068,65
Dancing With The Devil,Jelly Roll,2021,217360,0.39,0.791,-4.777,1,0.0568,0.223,0.0,0.0683,0.487,179.68,52
Need A Favor,Jelly Roll,2023,197400,0.502,0.771,-4.246,1,0.032,0.0123,1.82e-05,0.0801,0.557,157.978,77
Save Me,Jelly Roll,2021,240722,0.677,0.404,-9.552,1,0.027,0.653,0.0,0.249,0.355,83.087,69
Sober,Jelly Roll,2021,156133,0.458,0.542,-6.989,1,0.0313,0.357,1.98e-06,0.114,0.26,79.747,55
Son Of A Sinner,Jelly Roll,2021,232093,0.365,0.541,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,74
Almost Maybes,Jordan Davis,2022,179152,0.582,0.868,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,55
Buy Dirt,Jordan Davis,2021,167480,0.586,0.559,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,80
Cool Anymore,Jordan Davis,2022,200415,0.519,0.738,-5.452,1,0.0327,0.133,0.0,0.0986,0.506,155.972,48
Next Thing You Know,Jordan Davis,2023,175226,0.549,0.608,-8.253,1,0.0481,0.682,0.0,0.0966,0.399,78.534,77
Selfish,Jordan Davis,2022,192954,0.752,0.655,-6.07,1,0.0366,0.118,0.000297,0.0909,0.669,89.97,52
Singles You Up,Jordan Davis,2018,182666,0.491,0.907,-3.594,1,0.0481,0.0491,0.0,0.242,0.631,199.943,69
Slow Dance In A Parking Lot,Jordan Davis,2018,193929,0.523,0.837,-4.494,1,0.0335,0.301,0.0,0.172,0.523,82.006,66
Take It From Me,Jordan Davis,2021,174254,0.592,0.891,-3.144,1,0.0512,0.0267,0.0,0.352,0.674,99.983,71
3D (feat. Jack Harlow),Jung Kook,2023,201812,0.853,0.824,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,78
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,2022,201391,0.709,0.879,-4.218,1,0.042,0.158,0.00158,0.441,0.34,114.99,71
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023,183550,0.79,0.831,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,86
Standing Next to You,Jung Kook,2023,206019,0.711,0.809,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,90
Still With You,Jung Kook,2020,239905,0.529,0.469,-6.967,0,0.0358,0.0899,1.53e-05,0.831,0.344,87.864,77
Yes or No,Jung Kook,2023,147557,0.671,0.839,-2.645,1,0.0866,0.179,0.0,0.0748,0.882,83.845,77
Extssy Model,Junior H,2023,240654,0.675,0.725,-4.766,0,0.0334,0.0839,0.0,0.334,0.469,92.513,81
TRES BOTELLAS,Junior H,2023,162648,0.723,0.59,-7.688,0,0.0341,0.246,5.02e-05,0.201,0.587,97.481,78
clouds,JVKE,2021,162615,0.641,0.905,-3.694,1,0.0334,0.435,0.0491,0.185,0.875,94.874,67
golden hour,JVKE,2021,209259,0.515,0.593,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,77
this is what falling in love feels like,JVKE,2022,120308,0.422,0.44,-5.53,1,0.0544,0.617,0.0,0.0837,0.332,128.934,76
this is what heartbreak feels like,JVKE,2023,157636,0.707,0.474,-4.603,1,0.0672,0.578,0.0,0.11,0.538,109.991,67
Fantasy (feat. Don Toliver),Kali Uchis,2022,178274,0.625,0.684,-6.146,1,0.0496,0.132,0.000334,0.137,0.133,104.023,66
Moonlight,Kali Uchis,2022,187723,0.642,0.706,-6.832,0,0.0507,0.518,0.0,0.243,0.86,136.854,80
Simple,Kali Uchis,2022,202123,0.611,0.454,-9.166,0,0.0257,0.498,0.077,0.15,0.354,87.945,64
