Track,Artist,Year,Duration,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
We Found Love,Rihanna,2011,215226,0.735,0.766,-4.485,1,0.0384,0.025,0.00141,0.108,0.6,127.975,84
Where Have You Been,Rihanna,2012,242680,0.719,0.847,-6.34,0,0.0919,0.00201,0.0204,0.221,0.443,127.96,73
I'm Not The Only One,Sam Smith,2014,239316,0.678,0.484,-5.795,1,0.0361,0.529,2.01e-05,0.0766,0.493,82.004,83
Money On My Mind,Sam Smith,2014,192670,0.67,0.841,-5.217,1,0.18,0.204,0.000294,0.229,0.742,133.918,65
Stay With Me,Sam Smith,2014,172723,0.413,0.42,-6.444,1,0.0416,0.588,6.39e-05,0.11,0.185,84.126,83
Come & Get It,Selena Gomez,2013,231986,0.545,0.787,-4.095,0,0.0521,0.00999,0.000201,0.0809,0.574,80.158,69
The Heart Wants What It Wants,Selena Gomez,2014,227373,0.616,0.789,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,69
Can't Remember to Forget You (feat. Rihanna),Shakira,2014,206866,0.694,0.81,-3.556,0,0.0661,0.122,0.0,0.141,0.824,137.968,74
Empire,Shakira,2014,239333,0.541,0.628,-4.682,0,0.0603,0.733,0.0,0.056,0.364,80.027,45
Hips Don't Lie (feat. Wyclef Jean),Shakira,2006,218093,0.778,0.824,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,87
La Tortura (feat. Alejandro Sanz),Shakira,2005,212893,0.74,0.783,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,75
Loca (feat. El Cata),Shakira,2010,183693,0.8,0.692,-5.57,0,0.0614,0.342,1.92e-06,0.0554,0.917,112.002,69
She Wolf,Shakira,2009,188866,0.865,0.69,-7.448,1,0.0443,0.285,0.0162,0.225,0.867,121.983,70
Underneath Your Clothes,Shakira,2002,224066,0.616,0.597,-5.328,1,0.0415,0.691,0.0,0.104,0.362,165.508,60
Waka Waka,Shakira,2010,202466,0.764,0.887,-6.088,0,0.176,0.00987,0.0,0.0585,0.816,126.974,74
"Whenever, Wherever",Shakira,2001,196160,0.794,0.832,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,76
Blank Space,Taylor Swift,2014,231826,0.753,0.678,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,70
Love Story,Taylor Swift,2008,235266,0.618,0.741,-3.95,1,0.031,0.17,0.0,0.0822,0.296,118.984,65
Shake It Off,Taylor Swift,2014,219200,0.647,0.785,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,70
Chicken Fried,Zac Brown Band,2008,238146,0.566,0.713,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861,78
Colder Weather,Zac Brown Band,2010,273893,0.667,0.381,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,69
Goodbye in Her Eyes,Zac Brown Band,2012,324266,0.411,0.558,-7.393,1,0.038,0.162,3.79e-06,0.0879,0.379,81.274,54
Highway 20 Ride,Zac Brown Band,2008,229280,0.531,0.403,-7.195,1,0.0338,0.551,1.38e-05,0.105,0.431,76.125,59
Jump Right In,Zac Brown Band,2013,180813,0.699,0.819,-5.111,1,0.058,0.0886,0.0,0.143,0.654,104.02,58
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,2010,203173,0.715,0.584,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,75
Toes,Zac Brown Band,2008,262773,0.801,0.759,-5.398,1,0.0378,0.657,0.0,0.0897,0.821,129.971,73
Whatever It Is,Zac Brown Band,2009,208213,0.686,0.576,-6.633,1,0.0284,0.443,1.66e-05,0.212,0.72,83.969,69
