Artist,Followers,YearFirstAlbum
3LW,293561,2000
Amanda,23027,2011
Aaron Carter,162763,2000
Bilal,151360,2001
Carl Thomas,335717,2000
Pharoahe Monch,119669,2006
Billy Gilman,16145,2000
Sunday,619431,2002
Shyne,145645,2000
Fragma,26086,2001
Son By Four,48316,2000
Lil' Mo,110058,2001
Eric Heatherly,1093,2000
M2M,191590,2000
Sammie,265520,2000
Drama,708319,2006
Eiffel 65,173149,2001
Bon,2443408,2008
