ranking,song,band_singer,titletext,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
53,Why Don't You & I,Santana,Why Don't You & I,2003,0.495,0.894,-4.89,1.0,0.102,0.136,0.0,0.106,0.777,168.062,274360.0
54,Excuse Me Miss,Jay-Z,Excuse Me Miss,2003,0.714,0.862,-5.531,1.0,0.286,0.0305,0.0,0.0884,0.887,92.849,281240.0
55,Jenny from the Block,Jennifer Lopez,Jenny from the Block,2003,0.84,0.762,-5.454,1.0,0.226,0.00736,3.77e-06,0.0615,0.946,99.987,189765.0
55,Jenny from the Block,Jadakiss,Jenny from the Block,2003,0.8230000000000001,0.714,-9.926,1.0,0.103,0.00432,0.21,0.0621,0.891,99.992,190589.0
55,Jenny from the Block,Styles P,Jenny from the Block,2003,0.8230000000000001,0.714,-9.926,1.0,0.103,0.00432,0.21,0.0621,0.891,99.992,190589.0
56,Are You Happy Now?,Michelle Branch,Are You Happy Now?,2003,0.484,0.8270000000000001,-5.324,1.0,0.046,0.0039,0.00143,0.0876,0.717,179.566,230760.0
57,Forever and for Always,Shania Twain,Forever and for Always,2003,0.469,0.722,-4.806,1.0,0.0326,0.232,0.0,0.123,0.529,85.984,283000.0
58,I Can,Nas,I Can,2003,0.837,0.885,-3.914,0.0,0.182,0.103,0.0,0.0666,0.6940000000000001,95.313,253720.0
59,Underneath It All,No Doubt,Underneath It All,2003,0.729,0.731,-4.823,1.0,0.0682,0.235,1.35e-06,0.391,0.838,138.204,302720.0
59,Underneath It All,Lady Saw,Underneath It All,2003,0.776,0.719,-8.641,1.0,0.0373,0.0454,0.48,0.122,0.966,138.044,250567.0
60,If You're Not the One,Daniel Bedingfield,If You're Not the One,2003,0.687,0.537,-7.639,1.0,0.0305,0.561,0.0,0.107,0.264,120.023,257160.0
61,Thoia Thoing,R. Kelly,Thoia Thoing,2003,0.582,0.642,-4.925,1.0,0.307,0.274,2.98e-05,0.0717,0.936,85.565,221267.0
62,Here Without You,3 Doors Down,Here Without You,2003,0.557,0.533,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,238733.0
63,Wanksta,50 Cent,Wanksta,2003,0.806,0.867,-3.5380000000000003,1.0,0.157,0.02,0.0,0.131,0.904,81.033,219400.0
64,My Love Is Like...Wo,Mýa,My Love Is Like...Wo,2003,0.835,0.678,-6.458,1.0,0.124,0.227,6.44e-06,0.287,0.708,132.868,209490.0
65,It's Five O'Clock Somewhere,Alan Jackson,It's Five O'Clock Somewhere,2003,0.713,0.772,-6.69,1.0,0.0372,0.208,0.0,0.211,0.88,125.202,230133.0
65,It's Five O'Clock Somewhere,Jimmy Buffett,It's Five O'Clock Somewhere,2003,0.615,0.711,-10.398,1.0,0.0458,0.5710000000000001,0.00389,0.957,0.857,127.751,224453.0
66,Like Glue,Sean Paul,Like Glue,2003,0.757,0.78,-5.038,1.0,0.319,0.0811,0.0,0.113,0.589,97.917,232507.0
68,My Front Porch Looking In,Lonestar,My Front Porch Looking In,2003,0.529,0.811,-5.62,1.0,0.0511,0.0317,0.0,0.311,0.454,102.703,223573.0
69,Angel,Amanda Perez,Angel,2003,0.631,0.496,-8.279,0.0,0.0598,0.428,1.01e-06,0.107,0.365,143.735,217627.0
70,She Hates Me,Puddle of Mudd,She Hates Me,2003,0.58,0.748,-5.433,1.0,0.0323,0.00935,0.0,0.753,0.584,109.781,216760.0
71,Don't Wanna Try,Frankie J,Don't Wanna Try,2003,0.655,0.433,-7.577,0.0,0.0348,0.444,0.0,0.221,0.199,130.127,245293.0
72,The Jump Off,Lil' Kim,The Jump Off,2003,0.837,0.736,-8.367,0.0,0.378,0.225,0.0,0.0549,0.905,104.907,234093.0
73,Intuition,Jewel,Intuition,2003,0.718,0.798,-4.309,1.0,0.0586,0.00447,0.00632,0.0639,0.8140000000000001,100.03,228893.0
74,Hell Yeah,Ginuwine,Hell Yeah,2003,0.631,0.714,-7.259,0.0,0.355,0.0272,0.0,0.5640000000000001,0.653,87.98,338733.0
74,Hell Yeah,Baby,Hell Yeah,2003,0.741,0.548,-10.706,0.0,0.157,0.00012,0.00363,0.254,0.257,140.878,211966.0
75,Beer for My Horses,Toby Keith,Beer for My Horses,2003,0.717,0.85,-5.329,1.0,0.0473,0.368,0.0,0.0495,0.805,119.005,204000.0
76,Holidae In,Chingy,Holidae In,2003,0.81,0.791,-5.909,1.0,0.181,0.0893,0.0,0.0838,0.948,153.067,314400.0
77,Suga Suga,Baby Bash,Suga Suga,2003,0.662,0.748,-3.041,0.0,0.268,0.6880000000000001,8.43e-06,0.0841,0.535,82.331,239027.0
77,Suga Suga,Frankie J,Suga Suga,2003,0.684,0.522,-10.726,1.0,0.0479,0.276,0.0,0.0857,0.809,128.622,147840.0
78,Love of My Life (An Ode to Hip-Hop),Erykah Badu,Love of My Life (An Ode to Hip-Hop),2003,0.618,0.413,-9.311,0.0,0.398,0.134,0.000338,0.0913,0.462,87.412,337573.0
79,Fighter,Christina Aguilera,Fighter,2003,0.435,0.92,-1.357,0.0,0.201,0.235,0.0003529999999999,0.552,0.45,188.899,245960.0
80,Thugz Mansion,2Pac,Thugz Mansion,2003,0.7030000000000001,0.639,-6.183,0.0,0.281,0.299,0.0,0.139,0.893,87.908,247600.0
81,Clocks,Coldplay,Clocks,2003,0.577,0.749,-7.215,0.0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880.0
83,Rain on Me,Ashanti,Rain on Me,2003,0.606,0.6990000000000001,-3.103,0.0,0.0337,0.343,1.89e-06,0.0757,0.509,83.701,297960.0
84,19 Somethin',Mark Wills,19 Somethin',2003,0.58,0.8160000000000001,-5.165,1.0,0.0726,0.132,0.0,0.0776,0.8140000000000001,89.938,200467.0
86,Red Dirt Road,Brooks & Dunn,Red Dirt Road,2003,0.595,0.44,-7.795,1.0,0.0309,0.629,4.71e-06,0.0914,0.336,128.334,236973.0
87,What Was I Thinkin',Dierks Bentley,What Was I Thinkin',2003,0.551,0.8250000000000001,-6.24,0.0,0.044,0.152,6.2e-06,0.0999,0.933,164.857,260827.0
88,Flying Without Wings,Ruben Studdard,Flying Without Wings,2003,0.498,0.493,-7.748,1.0,0.0369,0.75,0.0,0.115,0.222,146.049,226133.0
89,Sing for the Moment,Eminem,Sing for the Moment,2003,0.668,0.8240000000000001,-4.164,0.0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547.0
90,Have You Forgotten?,Darryl Worley,Have You Forgotten?,2003,0.478,0.625,-5.975,1.0,0.0341,0.0515,0.0,0.116,0.343,160.196,242293.0
91,"No Shoes, No Shirt, No Problems",Kenny Chesney,"No Shoes, No Shirt, No Problems",2003,0.719,0.546,-10.239,1.0,0.032,0.243,0.00844,0.181,0.669,117.925,209667.0
92,Come Over,Aaliyah,Come Over,2003,0.759,0.458,-7.894,0.0,0.0754,0.559,0.000108,0.164,0.641,109.15,235107.0
93,Sick of Being Lonely,Field Mob,Sick of Being Lonely,2003,0.6920000000000001,0.921,-4.853,1.0,0.105,0.0016,2.05e-05,0.299,0.856,173.837,229160.0
94,Step in the Name of Love,R. Kelly,Step in the Name of Love,2003,0.775,0.53,-6.564,0.0,0.119,0.2,0.0,0.231,0.775,94.985,432147.0
95,I Want You,Thalía,I Want You,2003,0.803,0.773,-3.628,1.0,0.121,0.0107,0.0,0.0632,0.708,91.915,226027.0
96,Like a Stone,Audioslave,Like a Stone,2003,0.614,0.5680000000000001,-5.477,0.0,0.0276,0.00797,0.0,0.0997,0.516,107.849,293960.0
98,Superman,Eminem,Superman,2003,0.802,0.755,-3.138,0.0,0.0564,0.0215,0.0,0.295,0.58,130.027,350320.0
99,Real Good Man,Tim McGraw,Real Good Man,2003,0.56,0.8270000000000001,-5.393,1.0,0.0266,0.00986,1.13e-05,0.328,0.639,89.93,254600.0
100,Say Yes,Floetry,Say Yes,2003,0.747,0.398,-12.932,0.0,0.0743,0.211,1.42e-06,0.113,0.428,117.901,268373.0
1,Yeah!,Usher,Yeah!,2004,0.894,0.791,-4.699,1.0,0.112,0.0183,0.0,0.0388,0.583,105.018,250373.0
1,Yeah!,Lil Jon,Yeah!,2004,0.768,0.843,-4.549,1.0,0.0433,0.203,0.0,0.0561,0.763,123.951,146133.0
2,Burn,Usher,Burn,2004,0.796,0.477,-7.161,1.0,0.108,0.314,0.0,0.12,0.685,119.928,231933.0
3,If I Ain't Got You,Alicia Keys,If I Ain't Got You,2004,0.609,0.444,-9.129,1.0,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707.0
4,This Love,Maroon 5,This Love,2004,0.712,0.862,-4.612,0.0,0.0378,0.0525,0.0,0.093,0.809,95.051,206200.0
5,The Way You Move,OutKast,The Way You Move,2004,0.871,0.597,-4.932,0.0,0.0464,0.126,0.000113,0.0638,0.635,125.999,234000.0
6,The Reason,Hoobastank,The Reason,2004,0.472,0.671,-4.649,1.0,0.029,0.0129,0.0,0.159,0.0681,82.952,232800.0
7,I Don't Wanna Know,Mario Winans,I Don't Wanna Know,2004,0.833,0.44,-8.173,0.0,0.0497,0.123,4.38e-05,0.131,0.424,97.01,256013.0
7,I Don't Wanna Know,P. Diddy,I Don't Wanna Know,2004,0.73,0.284,-11.288,0.0,0.166,0.0268,0.501,0.217,0.484,193.971,225267.0
8,Hey Ya!,OutKast,Hey Ya!,2004,0.727,0.974,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213.0
9,Goodies,Ciara,Goodies,2004,0.8260000000000001,0.647,-6.306,0.0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,223000.0
10,Lean Back,Terror Squad,Lean Back,2004,0.783,0.916,-3.344,1.0,0.415,0.11,0.0,0.0746,0.6950000000000001,95.321,247427.0
10,Lean Back,Fat Joe,Lean Back,2004,0.611,0.754,-5.035,0.0,0.366,0.116,0.0,0.0945,0.5650000000000001,126.961,290267.0
11,Tipsy,J-Kwon,Tipsy,2004,0.925,0.744,-5.79,1.0,0.367,0.0644,0.0,0.0888,0.656,93.02,243227.0
12,Confessions Part II,Usher,Confessions Part II,2004,0.845,0.467,-7.674,1.0,0.138,0.0586,0.0,0.0694,0.7020000000000001,138.007,211200.0
13,Slow Motion,Juvenile,Slow Motion,2004,0.713,0.734,-4.894,0.0,0.325,0.548,0.0,0.0687,0.89,172.872,248200.0
13,Slow Motion,Soulja Slim,Slow Motion,2004,0.718,0.749,-4.964,1.0,0.306,0.521,0.0,0.748,0.906,173.054,199187.0
14,Freek-a-Leek,Petey Pablo,Freek-a-Leek,2004,0.756,0.6910000000000001,-3.718,1.0,0.178,0.0744,0.0,0.364,0.632,104.999,235187.0
15,Here Without You,3 Doors Down,Here Without You,2004,0.557,0.533,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,238733.0
16,Slow Jamz,Twista,Slow Jamz,2004,0.559,0.733,-5.659,0.0,0.171,0.314,0.0,0.284,0.611,145.115,316053.0
17,Someday,Nickelback,Someday,2004,0.455,0.858,-5.659,0.0,0.0391,0.000616,0.000247,0.226,0.597,163.118,207467.0
18,Naughty Girl,Beyoncé,Naughty Girl,2004,0.588,0.461,-8.686,0.0,0.161,0.237,1.5399999999999998e-05,0.0913,0.659,200.053,208573.0
19,My Immortal,Evanescence,My Immortal,2004,0.19,0.265,-9.206,1.0,0.0356,0.863,0.0,0.134,0.101,79.012,262533.0
20,Sunshine,Lil' Flip,Sunshine,2004,0.8140000000000001,0.387,-9.867,1.0,0.0946,0.0248,0.0,0.131,0.792,93.961,225173.0
21,Dirt Off Your Shoulder,Jay-Z,Dirt Off Your Shoulder,2004,0.78,0.657,-7.149,1.0,0.317,0.0321,2.56e-06,0.339,0.648,163.969,245173.0
22,Move Ya Body,Nina Sky,Move Ya Body,2004,0.87,0.712,-6.313,0.0,0.0432,0.0202,0.0003309999999999,0.0576,0.877,121.057,232000.0
23,Dip It Low,Christina Milian,Dip It Low,2004,0.754,0.718,-4.209,0.0,0.111,0.0122,0.000111,0.0923,0.5760000000000001,169.116,201000.0
24,My Boo,Usher,My Boo,2004,0.662,0.507,-8.238,1.0,0.118,0.257,0.0,0.0465,0.676,86.412,223440.0
25,One Call Away,Chingy,One Call Away,2004,0.765,0.8210000000000001,-5.926,0.0,0.183,0.0918,0.0,0.217,0.962,162.519,276800.0
26,"Me, Myself and I",Beyoncé,"Me, Myself and I",2004,0.75,0.458,-9.092,1.0,0.0803,0.226,3.25e-05,0.137,0.536,83.61,301133.0
27,Turn Me On,Kevin Lyttle,Turn Me On,2004,0.677,0.682,-6.879,1.0,0.0361,0.0405,0.0,0.0351,0.875,106.279,192107.0
28,The First Cut Is the Deepest,Sheryl Crow,The First Cut Is the Deepest,2004,0.501,0.749,-4.537,1.0,0.0279,0.0176,0.0,0.114,0.673,159.817,226200.0
29,You Don't Know My Name,Alicia Keys,You Don't Know My Name,2004,0.264,0.663,-8.264,1.0,0.187,0.59,0.00443,0.342,0.249,167.078,366733.0
30,My Place,Nelly,My Place,2004,0.6000000000000001,0.641,-4.237,0.0,0.0423,0.0498,1.49e-06,0.0982,0.642,163.153,336507.0
31,Overnight Celebrity,Twista,Overnight Celebrity,2004,0.8280000000000001,0.792,-5.435,0.0,0.179,0.182,0.0,0.281,0.777,134.199,233360.0
32,Hotel,Cassidy,Hotel,2004,0.68,0.659,-6.855,1.0,0.211,0.118,0.0,0.107,0.411,91.259,247040.0
32,Hotel,R. Kelly,Hotel,2004,0.869,0.522,-9.845,0.0,0.266,0.0361,0.00711,0.103,0.492,91.148,254867.0
33,Numb,Linkin Park,Numb,2004,0.496,0.863,-4.153,1.0,0.0381,0.0046,0.0,0.639,0.243,110.018,185587.0
34,Diary,Alicia Keys,Diary,2004,0.663,0.465,-9.711,0.0,0.0317,0.555,0.00183,0.125,0.279,127.932,284160.0
35,She Will Be Loved,Maroon 5,She Will Be Loved,2004,0.651,0.663,-5.569,0.0,0.0281,0.228,0.0,0.0994,0.465,102.0,259453.0
36,White Flag,Dido,White Flag,2004,0.509,0.538,-6.835,1.0,0.0379,0.306,5.03e-06,0.091,0.284,170.111,240600.0
37,Heaven,Los Lonely Boys,Heaven,2004,0.653,0.8160000000000001,-6.373,1.0,0.0638,0.376,1.61e-06,0.0754,0.802,91.894,226960.0
39,Pieces of Me,Ashlee Simpson,Pieces of Me,2004,0.532,0.807,-4.301,1.0,0.057,0.0584,0.0,0.114,0.759,87.183,217440.0
40,Leave (Get Out),JoJo,Leave (Get Out),2004,0.491,0.73,-4.399,0.0,0.0432,0.039,0.0,0.112,0.461,87.098,239560.0
41,Milkshake,Kelis,Milkshake,2004,0.891,0.77,-6.124,1.0,0.0439,0.00862,0.0315,0.155,0.8190000000000001,112.997,182627.0
42,Splash Waterfalls,Ludacris,Splash Waterfalls,2004,0.734,0.846,-6.102,1.0,0.409,0.101,0.0,0.233,0.7020000000000001,145.894,290760.0
43,Jesus Walks,Kanye West,Jesus Walks,2004,0.637,0.834,-4.686,0.0,0.323,0.614,0.0,0.317,0.715,87.312,193733.0
44,Locked Up,Akon,Locked Up,2004,0.833,0.5680000000000001,-4.312,1.0,0.0847,0.0262,0.0,0.11,0.369,89.958,235067.0
45,Stand Up,Ludacris,Stand Up,2004,0.751,0.84,-4.855,1.0,0.349,0.367,0.0,0.0916,0.801,99.057,213760.0
46,Suga Suga,Baby Bash,Suga Suga,2004,0.662,0.748,-3.041,0.0,0.268,0.6880000000000001,8.43e-06,0.0841,0.535,82.331,239027.0
46,Suga Suga,Frankie J,Suga Suga,2004,0.684,0.522,-10.726,1.0,0.0479,0.276,0.0,0.0857,0.809,128.622,147840.0
47,All Falls Down,Kanye West,All Falls Down,2004,0.657,0.734,-4.832,0.0,0.484,0.149,0.0,0.139,0.434,91.03,223507.0
48,Toxic,Britney Spears,Toxic,2004,0.774,0.838,-3.914,0.0,0.114,0.0249,0.025,0.242,0.924,143.04,198800.0
49,Salt Shaker,Ying Yang Twins,Salt Shaker,2004,0.884,0.6970000000000001,-6.022,1.0,0.128,0.0509,0.0,0.094,0.322,101.965,252440.0
50,With You,Jessica Simpson,With You,2004,0.553,0.756,-4.583,1.0,0.108,0.0923,0.0,0.215,0.605,94.487,191827.0
51,Meant to Live,Switchfoot,Meant to Live,2004,0.397,0.903,-4.577,1.0,0.0457,0.00575,1.6e-06,0.362,0.556,151.551,201373.0
52,I Like That,Houston,I Like That,2004,0.797,0.502,-3.925,0.0,0.0968,0.0154,0.0,0.1,0.385,106.997,236520.0
52,I Like That,Nate Dogg,I Like That,2004,0.751,0.445,-7.279,0.0,0.149,0.0508,0.0,0.355,0.433,107.003,74080.0
52,I Like That,I-20,I Like That,2004,0.677,0.623,-11.675,1.0,0.039,0.02,0.746,0.101,0.287,103.008,247615.0
53,Sorry 2004,Ruben Studdard,Sorry 2004,2004,0.721,0.472,-7.574,1.0,0.0619,0.076,0.0,0.332,0.462,129.964,261867.0
54,My Happy Ending,Avril Lavigne,My Happy Ending,2004,0.414,0.936,-2.407,1.0,0.0758,0.00136,0.0,0.369,0.74,170.229,242413.0
55,On Fire,Lloyd Banks,On Fire,2004,0.759,0.8250000000000001,-4.289,1.0,0.22,0.0923,0.00057,0.24,0.429,94.857,187280.0
56,Roses,OutKast,Roses,2004,0.751,0.708,-5.6530000000000005,1.0,0.0545,0.0482,1.85e-05,0.107,0.509,108.97,369573.0
57,Walked Outta Heaven,Jagged Edge,Walked Outta Heaven,2004,0.67,0.616,-6.123,1.0,0.225,0.5730000000000001,0.0,0.0535,0.523,120.129,270880.0
59,My Band,D12,My Band,2004,0.851,0.849,-3.383,0.0,0.0828,0.497,2.05e-06,0.116,0.844,120.014,298773.0
60,I'm Still in Love with You,Sean Paul,I'm Still in Love with You,2004,0.762,0.669,-5.385,1.0,0.169,0.0957,0.0,0.0619,0.765,86.998,274666.0
61,Through the Wire,Kanye West,Through the Wire,2004,0.5710000000000001,0.739,-6.11,1.0,0.247,0.00865,5.21e-06,0.158,0.66,83.089,221227.0
62,Why?,Jadakiss,Why?,2004,0.602,0.938,-3.378,0.0,0.238,0.0164,0.0,0.0612,0.562,168.417,240000.0
62,Why?,Anthony Hamilton,Why?,2004,0.664,0.5750000000000001,-6.924,0.0,0.172,0.484,1.75e-05,0.146,0.711,88.32,265200.0
63,Fuck It (I Don't Want You Back),Eamon,Fuck It (I Don't Want You Back),2004,0.8280000000000001,0.653,-6.245,0.0,0.0653,0.214,3.25e-06,0.0404,0.5750000000000001,68.507,225107.0
64,Read Your Mind,Avant,Read Your Mind,2004,0.755,0.381,-6.696,0.0,0.0711,0.291,5.13e-06,0.0974,0.6950000000000001,73.108,263507.0
65,Game Over (Flip),Lil' Flip,Game Over (Flip),2004,0.8300000000000001,0.577,-8.694,1.0,0.405,0.00291,1.24e-06,0.0906,0.665,160.039,232427.0
66,One Thing,Finger Eleven,One Thing,2004,0.588,0.555,-9.401,1.0,0.0334,0.447,0.0,0.0806,0.445,151.991,279573.0
67,Headsprung,LL Cool J,Headsprung,2004,0.718,0.786,-5.76,1.0,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,267320.0
68,Damn!,YoungBloodZ,Damn!,2004,0.772,0.724,-5.799,0.0,0.307,0.0149,0.0,0.355,0.518,84.038,298600.0
68,Damn!,Lil Jon,Damn!,2004,0.626,0.513,-8.731,1.0,0.448,0.0533,0.0,0.0805,0.426,141.98,231424.0
69,Baby Boy,Beyoncé,Baby Boy,2004,0.655,0.488,-9.17,1.0,0.22,0.0825,1.16e-06,0.221,0.791,91.025,244827.0
69,Baby Boy,Sean Paul,Baby Boy,2004,0.677,0.621,-5.725,1.0,0.23,0.0667,2.46e-06,0.142,0.8180000000000001,91.147,246707.0
70,Get Low,Lil Jon & the East Side Boyz,Get Low,2004,0.521,0.625,-7.47,1.0,0.067,0.0301,0.0,0.121,0.136,101.019,334067.0
48,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,2006,0.465,0.954,-4.251,1.0,0.044,0.000346,5.38e-06,0.5730000000000001,0.458,143.85,193653.0
17,Whistle,Flo Rida,Whistle,2012,0.747,0.937,-5.746,1.0,0.0453,0.0208,0.0,0.29,0.739,103.976,224653.0
