ranking,song,band_singer,titletext,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
71,Party Up (Up in Here),DMX,Party Up (Up in Here),2000,0.736,0.834,-3.052,0.0,0.0969,0.077,0.0,0.407,0.234,100.979,297040.0
72,Case of the Ex (Whatcha Gonna Do),Mýa,Case of the Ex (Whatcha Gonna Do),2000,0.774,0.684,-4.721,0.0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,236827.0
73,Forgot About Dre,Dr. Dre,Forgot About Dre,2000,0.924,0.74,-1.299,1.0,0.0774,0.0827,0.0,0.163,0.621,133.974,222293.0
75,Swear It Again,Westlife,Swear It Again,2000,0.626,0.532,-7.205,1.0,0.0275,0.296,0.0,0.122,0.33,130.071,248240.0
76,The Next Episode,Dr. Dre,The Next Episode,2000,0.922,0.909,-2.429,0.0,0.27,0.0281,0.0,0.0856,0.309,95.295,161507.0
77,From the Bottom of My Broken Heart,Britney Spears,From the Bottom of My Broken Heart,2000,0.677,0.665,-5.171,1.0,0.0305,0.56,1.01e-06,0.338,0.706,74.981,312533.0
78,Crash and Burn,Savage Garden,Crash and Burn,2000,0.581,0.607,-8.458,1.0,0.028,0.189,1.6e-06,0.0882,0.213,102.03,281467.0
79,Yes!,Chad Brock,Yes!,2000,0.674,0.623,-5.97,1.0,0.0283,0.00408,5.61e-05,0.0488,0.452,126.547,206733.0
80,The Best Day,George Strait,The Best Day,2000,0.647,0.49,-5.044,1.0,0.0288,0.676,0.0,0.231,0.298,132.336,204067.0
81,Where I Wanna Be,Donell Jones,Where I Wanna Be,2000,0.664,0.396,-9.131,0.0,0.0298,0.52,0.0,0.268,0.453,102.053,253627.0
82,How Do You Like Me Now?!,Toby Keith,How Do You Like Me Now?!,2000,0.648,0.667,-8.986,1.0,0.0311,0.0534,6.9400000000000005e-06,0.0908,0.669,109.609,209067.0
83,My Best Friend,Tim McGraw,My Best Friend,2000,0.444,0.484,-8.311,1.0,0.0289,0.12,0.0,0.135,0.263,147.715,279867.0
84,Broadway,Goo Goo Dolls,Broadway,2000,0.527,0.878,-5.704,1.0,0.0424,0.0005549999999999,0.0,0.0852,0.757,132.791,238533.0
86,Don't Think I'm Not,Kandi,Don't Think I'm Not,2000,0.859,0.622,-8.196,1.0,0.0445,0.0661,0.0,0.0394,0.433,134.007,243533.0
87,I Hope You Dance,Lee Ann Womack,I Hope You Dance,2000,0.385,0.443,-9.627,0.0,0.0295,0.0632,0.0,0.0898,0.275,151.278,294533.0
88,Better Off Alone,Alice Deejay,Better Off Alone,2000,0.671,0.882,-6.149,0.0,0.0552,0.00181,0.667,0.285,0.787,136.955,214883.0
89,Dance with Me,Debelah Morgan,Dance with Me,2000,0.85,0.674,-7.981,0.0,0.0373,0.309,0.000645,0.0356,0.74,115.005,220107.0
90,What About Now,Lonestar,What About Now,2000,0.663,0.8190000000000001,-7.464,1.0,0.0335,0.147,0.0,0.0915,0.73,125.878,210000.0
91,I Like It,Sammie,I Like It,2000,0.8260000000000001,0.656,-8.529,1.0,0.0617,0.0101,0.000113,0.0272,0.852,129.963,251040.0
92,24/7,Kevon Edmonds,24/7,2000,0.6960000000000001,0.627,-5.629,1.0,0.0334,0.0685,0.0,0.0993,0.322,116.047,274267.0
93,Girl on TV,LFO,Girl on TV,2000,0.6880000000000001,0.716,-4.001,0.0,0.0297,0.131,0.0,0.134,0.352,96.043,247600.0
96,I Don't Wanna,Aaliyah,I Don't Wanna,2000,0.707,0.514,-7.286,0.0,0.0355,0.517,0.0,0.286,0.687,130.02,256560.0
98,Gotta Tell You,Samantha Mumba,Gotta Tell You,2000,0.739,0.75,-4.513,0.0,0.0278,0.205,0.0,0.157,0.758,109.983,200160.0
99,Waiting for Tonight,Jennifer Lopez,Waiting for Tonight,2000,0.6950000000000001,0.945,-6.165,0.0,0.0418,0.00341,0.0727,0.103,0.84,125.013,246427.0
100,Shackles (Praise You),Mary Mary,Shackles (Praise You),2000,0.779,0.834,-2.773,1.0,0.162,0.0343,0.0,0.0886,0.8,100.46,198347.0
1,Hanging by a Moment,Lifehouse,Hanging by a Moment,2001,0.541,0.864,-4.915,1.0,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067.0
2,Fallin',Alicia Keys,Fallin',2001,0.652,0.609,-7.519,0.0,0.037,0.263,0.00101,0.233,0.482,95.986,210200.0
3,All for You,Janet Jackson,All for You,2001,0.753,0.934,-3.011,1.0,0.0736,0.0174,0.065,0.128,0.73,113.525,329933.0
