Name,Artist,Popularity,Valence,Energy,Tempo,year,RiaaStatus,Label,period
beating heart,ellie goulding,18.0,0.285,0.756,127.904,2014.0,,,pre_ai
beautiful,akon,65.0,0.629,0.945,130.015,2009.0,2x Multi-Platinum,Universal Republic,pre_ai
beautiful,carly rae jepsen,25.0,0.449,0.479,103.916,2012.0,,,pre_ai
beautiful,christina aguilera,61.0,0.0987,0.567,76.218,2002.0,Gold,Rca,pre_ai
beautiful,eminem,42.333333333333336,0.467,0.696,132.077,2009.0,3x Multi-Platinum,Shady / Aftermath / Interscope,pre_ai
beautiful,snoop dogg,61.0,0.961,0.695,101.007,2002.0,,,pre_ai
beautiful day,u2,73.0,0.389,0.928,136.258,2000.0,Gold,Interscope,pre_ai
beautiful drug,zac brown band,62.0,0.373,0.857,125.838,2015.0,,,pre_ai
beautiful girls,sean kingston,6.0,0.708,0.666,129.995,2008.0,2x Multi-Platinum,Sony Bmg Strategic Marketing,pre_ai
beautiful mess,diamond rio,11.0,0.475,0.663,177.44,2002.0,,,pre_ai
beautiful monster,ne,12.0,0.492,0.772,127.994,2010.0,,,pre_ai
beautiful pain,eminem,65.0,0.4,0.815,165.369,2013.0,,,pre_ai
beautiful soul,jesse mccartney,74.0,0.933,0.666,89.975,2004.0,,,pre_ai
beauty and a beat,justin bieber,26.0,0.534,0.843,128.002,2012.0,2x Multi-Platinum,Island/Def Jam,pre_ai
because i got high,afroman,68.0,0.844,0.339,165.982,2000.0,1x Platinum,Uptown / Universal,pre_ai
because of you,kelly clarkson,31.0,0.115,0.591,139.909,2005.0,Gold,Rca,pre_ai
because of you,ne,39.5,0.835,0.537,109.984,2007.0,,,pre_ai
bed,j. holiday,33.0,0.723,0.606,127.901,2007.0,,,pre_ai
bed of lies,nicki minaj,50.0,0.122,0.661,171.764,2014.0,,,pre_ai
been you,justin bieber,60.0,0.854,0.794,113.0,2015.0,,,pre_ai
beep,bobby v,16.0,0.368,0.573,79.013,2008.0,,,pre_ai
beer in mexico,kenny chesney,57.0,0.476,0.906,137.97,2005.0,1x Platinum,Bna Records,pre_ai
beez in the trap,nicki minaj,48.0,0.645,0.77,149.982,2012.0,Gold,Universal Republic,pre_ai
before he cheats,carrie underwood,32.0,0.302,0.746,147.875,2005.0,5x Multi-Platinum,Arista Nashville,pre_ai
beggin',madcon,63.0,0.47,0.706,129.001,2007.0,,,pre_ai
begin again,taylor swift,47.0,0.344,0.531,79.055,2012.0,1x Platinum,"Big Machine Records, Inc.",pre_ai
behind blue eyes,limp bizkit,18.0,0.0799,0.479,120.324,2003.0,,,pre_ai
behind these hazel eyes,kelly clarkson,32.0,0.467,0.886,90.036,2005.0,1x Platinum,Rca,pre_ai
believe,staind,24.0,0.227,0.736,113.933,2008.0,,,pre_ai
bent,matchbox twenty,54.0,0.527,0.83,95.468,2000.0,Gold,Atlantic,pre_ai
berzerk,eminem,69.0,0.684,0.872,95.084,2013.0,3x Multi-Platinum,Shady / Aftermath / Interscope,pre_ai
best days of your life,kellie pickler,54.0,0.538,0.862,127.939,2008.0,1x Platinum,Bna Records Label,pre_ai
best i ever had,drake,64.0,0.558,0.922,162.361,2009.0,4x Multi-Platinum,Cash Money / Young Money / Republic Records,pre_ai
best i ever had,gary allan,54.0,0.214,0.59,174.863,2005.0,1x Platinum,Mca Nashville,pre_ai
best i ever had,gavin degraw,56.0,0.513,0.932,134.981,2013.0,,,pre_ai
best of you,foo fighters,76.0,0.369,0.94,130.198,2005.0,2x Multi-Platinum,Rca,pre_ai
best thing i never had,beyonce,40.0,0.297,0.649,99.099,2011.0,1x Platinum,Columbia,pre_ai
better as a memory,kenny chesney,44.0,0.145,0.302,70.932,2007.0,Gold,Bna Records,pre_ai
better days,goo goo dolls,50.0,0.331,0.595,113.276,2005.0,Gold,Warner Bros.,pre_ai
better dig two,the band perry,16.5,0.645,0.665,155.801,2012.0,2x Multi-Platinum,Republic Nashville,pre_ai
better in time,leona lewis,0.0,0.516,0.707,163.966,2008.0,,,pre_ai
better life,keith urban,30.666666666666668,0.8,0.832,104.942,2005.0,,,pre_ai
better than i know myself,adam lambert,34.0,0.303,0.832,109.778,2012.0,,,pre_ai
better than i used to be,tim mcgraw,51.0,0.407,0.566,138.154,2011.0,Gold,Curb Records,pre_ai
better than me,hinder,63.0,0.23,0.675,139.87,2007.0,,,pre_ai
better than revenge,taylor swift,52.0,0.635,0.917,145.821,2010.0,Gold,"Big Machine Records, Inc.",pre_ai
between the raindrops,lifehouse,57.0,0.236,0.63,106.978,2012.0,,,pre_ai
beverly hills,weezer,71.0,0.741,0.823,87.904,2005.0,Gold,Geffen,pre_ai
beware,big sean,66.0,0.062,0.553,97.219,2013.0,2x Multi-Platinum,G.o.o.d Music / Def Jam Recordings,pre_ai
big blue note,toby keith,32.5,0.792,0.663,115.29,2005.0,,,pre_ai
big star,kenny chesney,49.0,0.73,0.807,120.781,2002.0,,,pre_ai
big yellow taxi,counting crows,63.0,0.842,0.866,88.041,2002.0,,,pre_ai
bigger,justin bieber,26.0,0.884,0.748,104.075,2009.0,,,pre_ai
bigger than my body,john mayer,61.0,0.517,0.936,117.303,2003.0,,,pre_ai
bill gates,lil wayne,6.0,0.701,0.795,135.97,2010.0,,,pre_ai
billy's got his beer goggles on,neal mccoy,28.0,0.691,0.799,106.04,2005.0,,,pre_ai
bionic,christina aguilera,41.0,0.854,0.933,175.99,2010.0,,,pre_ai
birthday,katy perry,65.0,0.843,0.674,125.98,2013.0,1x Platinum,Capitol Records,pre_ai
birthday cake,rihanna,34.0,0.329,0.826,80.014,2012.0,1x Platinum,Island/Def Jam,pre_ai
birthday sex,jeremih,68.0,0.474,0.551,60.035,2009.0,3x Multi-Platinum,Def Jam,pre_ai
birthday song,2 chainz,45.0,0.156,0.586,140.092,2012.0,2x Multi-Platinum,Def Jam,pre_ai
bittersweet,fantasia,2.0,0.424,0.811,129.983,2010.0,,,pre_ai
black and yellow,wiz khalifa,18.0,0.538,0.834,164.02,2010.0,,,pre_ai
blackout,breathe carolina,50.0,0.801,0.819,122.951,2011.0,1x Platinum,Columbia,pre_ai
blackstar,david bowie,53.0,0.114,0.552,97.98,2015.0,,,pre_ai
blank space,taylor swift,47.0,0.57,0.703,95.997,2014.0,8x Multi-Platinum,"Big Machine Records, Inc.",pre_ai
bleed it out,linkin park,54.0,0.698,0.932,140.135,2007.0,2x Multi-Platinum,Warner Bros.,pre_ai
bleeding love,leona lewis,0.0,0.216,0.646,104.045,2007.0,1x Platinum,j Records,pre_ai
bless the broken road,rascal flatts,22.0,0.362,0.448,135.949,2004.0,1x Platinum,Lyric Street,pre_ai
blessings,big sean,52.0,0.143,0.616,118.937,2015.0,3x Multi-Platinum,Def Jam,pre_ai
blood.,kendrick lamar,62.0,0.494,0.238,156.907,2015.0,Gold,Tde / Aftermath / Interscope,pre_ai
blown away,carrie underwood,10.5,0.388,0.836,136.942,2012.0,3x Multi-Platinum,19 Recordings Limited / Arista Nashville,pre_ai
blue orchid,the white stripes,45.0,0.644,0.664,151.302,2005.0,,,pre_ai
blunt blowin,lil wayne,34.0,0.375,0.738,135.988,2011.0,,,pre_ai
blurred lines,robin thicke,17.0,0.824,0.615,120.002,2013.0,10x Diamond,Star Trak / Interscope,pre_ai
blurry,puddle of mudd,67.0,0.499,0.936,157.469,2001.0,,,pre_ai
body 2 body,ace hood,18.0,0.561,0.82,152.057,2011.0,,,pre_ai
body language,jesse mccartney,23.0,0.587,0.747,161.468,2009.0,,,pre_ai
body party,ciara,8.0,0.11,0.578,134.166,2013.0,Gold,Epic,pre_ai
boom,snoop dogg,0.0,0.397,0.875,103.735,2011.0,,,pre_ai
boom boom pow,the black eyed peas,66.0,0.402,0.857,130.048,2009.0,5x Multi-Platinum,Interscope,pre_ai
boondocks,little big town,65.0,0.695,0.78,88.016,2005.0,1x Platinum,Capitol Records Nashville,pre_ai
boots on,randy houser,5.0,0.814,0.895,112.008,2009.0,,,pre_ai
born this way,lady gaga,52.0,0.508,0.827,123.905,2011.0,4x Multi-Platinum,Streamline  /  Interscope,pre_ai
born to fly,sara evans,28.0,0.592,0.657,100.156,2000.0,,,pre_ai
bother,stone sour,28.0,0.134,0.268,179.832,2003.0,Gold,Roadrunner,pre_ai
bottoms up,brantley gilbert,18.0,0.543,0.857,169.997,2013.0,4x Multi-Platinum,the Valory Music Co,pre_ai
bounce it,juicy j,42.0,0.484,0.571,140.023,2013.0,,,pre_ai
bow chicka wow wow,mike posner,31.0,0.584,0.636,146.885,2011.0,1x Platinum,Rca,pre_ai
boyfriend,ashlee simpson,11.666666666666666,0.924,0.735,128.041,2005.0,,,pre_ai
boyfriend,big time rush,26.0,0.643,0.898,83.251,2009.0,Gold,Columbia,pre_ai
boyfriend,justin bieber,27.0,0.332,0.55,96.976,2012.0,6x Multi-Platinum,Def Jam,pre_ai
boyfriend #2,pleasure p,20.0,0.784,0.689,139.932,2008.0,,,pre_ai
braid my hair,mario,40.0,0.449,0.619,134.037,2002.0,,,pre_ai
brand new,ben rector,66.0,0.421,0.933,144.874,2015.0,,,pre_ai
