Unnamed: 0,Acousticness,Album,Artist,Danceability,Duration,Energy,Instrumentalness,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,Valence,year,period
221,0.498,Rise and Shine,randy travis,0.534,201240,0.547,0.0,0.0897,-7.915,1,three wooden crosses,36,0.0323,158.006,0.423,2002.0,pre_ai
39,0.0106,Part III,112,0.66,264933,0.71,7.01e-06,0.0736,-4.541,1,it's over now,65,0.0409,97.988,0.233,2001.0,pre_ai
40,0.0738,...And Then There Was X,dmx,0.51,268867,0.931,0.0,0.5,-3.302,1,party up,71,0.347,201.936,0.53,2000.0,pre_ai
185,0.0135,The Definition of X: Pick Of The Litter,dmx,0.761,217587,0.899,0.0,0.0719,-3.09,0,x gon' give it to ya,78,0.183,95.027,0.673,2003.0,pre_ai
187,0.122,The Definition of X: Pick Of The Litter,dmx,0.69,288653,0.888,0.0,0.309,-2.518,1,who we be,32,0.21,82.783,0.577,2001.0,pre_ai
204,0.142,The Great Depression,dmx,0.725,280867,0.71,0.0,0.106,-5.172,1,i miss you,45,0.194,90.568,0.566,2001.0,pre_ai
168,0.0107,Thalia,thalia,0.803,226027,0.773,0.0,0.0632,-3.628,1,i want you,52,0.121,91.915,0.708,2003.0,pre_ai
92,0.195,On Your Way Home,patty loveless,0.52,217040,0.836,2.96e-06,0.128,-6.544,0,lovin' all night,13,0.0548,171.989,0.681,2003.0,pre_ai
135,0.208,Strong Heart,patty loveless,0.7,211227,0.71,0.0,0.0992,-3.979,1,that's the kind of mood i'm in,0,0.0337,126.374,0.62,2010.0,pre_ai
0,0.00503,2000 Watts,tyrese,0.77,264093,0.854,9.31e-05,0.319,-0.949,0,i like them girls,35,0.0539,90.006,0.807,2001.0,pre_ai
7,0.275,2000 Watts,tyrese,0.69,280000,0.475,0.0,0.0951,-4.702,0,what am i gonna do,48,0.052,145.597,0.536,2001.0,pre_ai
51,0.107,I Wanna Go There,tyrese,0.733,294693,0.521,0.0,0.0692,-3.657,0,how you gonna act like that,61,0.0457,112.913,0.525,2002.0,pre_ai
56,0.215,I Wanna Go There,tyrese,0.687,245893,0.363,3.08e-06,0.305,-10.144,1,signs of love makin',56,0.0857,137.365,0.519,2002.0,pre_ai
77,0.437,Live Radio City Music Hall 2003,luther vandross,0.526,290133,0.597,0.0,0.961,-8.932,1,take you out,34,0.193,86.222,0.385,2001.0,pre_ai
83,0.582,Live Radio City Music Hall 2003,luther vandross,0.403,328840,0.519,0.0,0.85,-8.383,1,i'd rather,27,0.0413,112.467,0.441,2001.0,pre_ai
18,0.215,Cheers,obie trice,0.78,227027,0.859,6.05e-06,0.367,-3.004,0,got some teeth,23,0.21,106.548,0.789,2003.0,pre_ai
111,0.000674,"So Long, Astoria",the ataris,0.251,258000,0.954,0.000132,0.0975,-2.879,1,the boys of summer,68,0.0691,191.059,0.264,2003.0,pre_ai
2,0.242,A Nu Day,tamia,0.668,226333,0.698,6.32e-05,0.06,-7.036,0,can't go for that,20,0.0714,106.041,0.448,2000.0,pre_ai
40,0.247,Into You,tamia,0.476,242467,0.407,0.0,0.144,-9.239,0,officially missing you,0,0.0368,178.258,0.226,2003.0,pre_ai
50,0.0577,Subject,dwele,0.712,249573,0.657,0.0,0.234,-5.888,0,find a way,46,0.149,97.993,0.437,2003.0,pre_ai
2,0.0017,Fefe Dobson,fefe dobson,0.594,209707,0.908,0.00115,0.245,-4.598,0,take me away,1,0.0383,110.056,0.764,2003.0,pre_ai
56,0.0021,Welcome Interstate Managers,fountains of wayne,0.774,197987,0.75,1.85e-05,0.0808,-4.927,0,stacy's mom,75,0.0413,118.015,0.925,2003.0,pre_ai
30,0.0747,Stacie Orrico,stacie orrico,0.377,221587,0.904,0.0,0.334,-3.634,0,stuck,56,0.307,200.566,0.595,2003.0,pre_ai
36,0.0273,Liz Phair,liz phair,0.487,208360,0.759,0.0,0.165,-4.849,1,why can't i?,58,0.0405,80.958,0.227,2003.0,pre_ai
0,0.0366,B2K,b2k,0.833,321467,0.449,0.000421,0.0751,-4.227,1,gots ta be,19,0.049,131.751,0.709,2002.0,pre_ai
2,0.0499,B2K,b2k,0.7,240747,0.614,0.0,0.116,-5.866,1,why i love you,21,0.0271,89.981,0.412,2002.0,pre_ai
3,0.0989,B2K,b2k,0.853,223333,0.671,3.83e-06,0.0597,-4.929,1,uh huh,16,0.0641,99.69,0.9,2001.0,pre_ai
45,0.0139,Fear Of Flying,mya,0.79,318733,0.793,1.59e-05,0.0662,-6.122,0,free,34,0.0531,108.017,0.643,2000.0,pre_ai
92,0.11,Moodring,mya,0.665,214599,0.609,1.28e-05,0.555,-8.188,1,fallen,12,0.0468,94.452,0.387,2003.0,pre_ai
1,0.0283,Big Money Heavyweight,big tymers,0.94,271488,0.74,3.98e-05,0.0524,-4.163,1,this is how we do,49,0.15,101.032,0.745,2003.0,pre_ai
2,0.481,Big Money Heavyweight,big tymers,0.846,258947,0.627,0.0,0.0825,-8.779,1,gangsta girl,25,0.167,152.03,0.902,2003.0,pre_ai
39,0.0349,Hood Rich,big tymers,0.674,335613,0.61,1.12e-05,0.343,-3.546,1,still fly,62,0.227,177.943,0.548,2002.0,pre_ai
1,0.0288,Fever (Deluxe Edition),kylie minogue,0.603,238267,0.774,0.051,0.0533,-6.066,0,love at first sight,31,0.0428,124.994,0.48,2002.0,pre_ai
2,0.0263,Fever (Deluxe Edition),kylie minogue,0.766,230640,0.563,0.683,0.115,-7.516,0,can't get you out of my head,53,0.0339,126.007,0.964,2001.0,pre_ai
6,0.0345,Fever (Deluxe Edition),kylie minogue,0.606,246667,0.817,0.204,0.119,-7.338,0,come into my world,27,0.0286,125.002,0.836,2002.0,pre_ai
184,0.0133,Body Language,kylie minogue,0.772,193667,0.845,0.166,0.139,-8.082,1,slow,32,0.0468,114.997,0.573,2003.0,pre_ai
24,0.0838,Collections,tracy byrd,0.649,177280,0.78,0.0,0.46,-5.42,1,the truth about men,5,0.0309,145.943,0.912,2003.0,pre_ai
117,0.000172,Trapt,trapt,0.492,285570,0.896,2.78e-06,0.189,-5.819,0,headstrong,74,0.117,184.981,0.534,2002.0,pre_ai
1,0.0271,Some Things (Deluxe),lasgo,0.643,220973,0.981,8.93e-05,0.11,-6.644,0,something,32,0.0439,140.01,0.38,2001.0,pre_ai
34,0.91,Gangsta Nation Live,westside connection,0.695,273012,0.872,0.0,0.651,-4.227,0,gangsta nation,14,0.147,94.949,0.796,2003.0,pre_ai
41,0.181,Tough Luv,young gunz,0.674,235907,0.897,0.0,0.195,-3.053,1,no better love,46,0.259,91.194,0.525,2004.0,pre_ai
55,0.00709,Tough Luv,young gunz,0.855,262800,0.788,0.0,0.358,-3.041,0,"can't stop, won't stop",48,0.219,99.992,0.809,2003.0,pre_ai
20,8.08e-05,Natural Selection,fuel,0.317,254027,0.804,0.109,0.0995,-6.504,0,falls on me,0,0.0379,164.185,0.181,2003.0,pre_ai
43,0.000374,Something Like Human,fuel,0.291,195467,0.735,4.53e-06,0.0808,-4.767,1,bad day,49,0.0415,175.978,0.19,2000.0,pre_ai
35,0.0121,Chocolate Starfish And The Hot Dog Flavored Water,limp bizkit,0.552,273000,0.866,4.64e-06,0.689,-3.14,1,my way,17,0.0475,97.084,0.608,2001.0,pre_ai
